x, y, T, Tex,
0.000000, 0.000000, 0.000000, 0.000000,
0.000000, 0.031250, 0.000000, 0.000000,
0.000000, 0.062500, 0.000000, 0.000000,
0.000000, 0.093750, 0.000000, 0.000000,
0.000000, 0.125000, 0.000000, 0.000000,
0.000000, 0.156250, 0.000000, 0.000000,
0.000000, 0.187500, 0.000000, 0.000000,
0.000000, 0.218750, 0.000000, 0.000000,
0.000000, 0.250000, 0.000000, 0.000000,
0.000000, 0.281250, 0.000000, 0.000000,
0.000000, 0.312500, 0.000000, 0.000000,
0.000000, 0.343750, 0.000000, 0.000000,
0.000000, 0.375000, 0.000000, 0.000000,
0.000000, 0.406250, 0.000000, 0.000000,
0.000000, 0.437500, 0.000000, 0.000000,
0.000000, 0.468750, 0.000000, 0.000000,
0.000000, 0.500000, 0.000000, 0.000000,
0.031250, 0.000000, 0.030284, 0.030273,
0.031250, 0.031250, 0.030138, 0.030128,
0.031250, 0.062500, 0.029702, 0.029692,
0.031250, 0.093750, 0.028980, 0.028970,
0.031250, 0.125000, 0.027979, 0.027969,
0.031250, 0.156250, 0.026708, 0.026699,
0.031250, 0.187500, 0.025180, 0.025171,
0.031250, 0.218750, 0.023410, 0.023402,
0.031250, 0.250000, 0.021414, 0.021407,
0.031250, 0.281250, 0.019212, 0.019205,
0.031250, 0.312500, 0.016825, 0.016819,
0.031250, 0.343750, 0.014276, 0.014271,
0.031250, 0.375000, 0.011589, 0.011585,
0.031250, 0.406250, 0.008791, 0.008788,
0.031250, 0.437500, 0.005908, 0.005906,
0.031250, 0.468750, 0.002968, 0.002967,
0.031250, 0.500000, 0.000000, 0.000000,
0.062500, 0.000000, 0.058614, 0.058594,
0.062500, 0.031250, 0.058332, 0.058312,
0.062500, 0.062500, 0.057488, 0.057468,
0.062500, 0.093750, 0.056091, 0.056071,
0.062500, 0.125000, 0.054153, 0.054134,
0.062500, 0.156250, 0.051693, 0.051675,
0.062500, 0.187500, 0.048736, 0.048719,
0.062500, 0.218750, 0.045310, 0.045294,
0.062500, 0.250000, 0.041447, 0.041432,
0.062500, 0.281250, 0.037185, 0.037171,
0.062500, 0.312500, 0.032564, 0.032553,
0.062500, 0.343750, 0.027631, 0.027621,
0.062500, 0.375000, 0.022431, 0.022423,
0.062500, 0.406250, 0.017015, 0.017009,
0.062500, 0.437500, 0.011435, 0.011431,
