x, y, T, Tex,
0.000000, 0.000000, 0.000000, 0.000000,
0.000000, 0.062500, 0.000000, 0.000000,
0.000000, 0.125000, 0.000000, 0.000000,
0.000000, 0.187500, 0.000000, 0.000000,
0.000000, 0.250000, 0.000000, 0.000000,
0.000000, 0.312500, 0.000000, 0.000000,
0.000000, 0.375000, 0.000000, 0.000000,
0.000000, 0.437500, 0.000000, 0.000000,
0.000000, 0.500000, 0.000000, 0.000000,
0.062500, 0.000000, 0.058677, 0.058594,
0.062500, 0.062500, 0.057549, 0.057468,
0.062500, 0.125000, 0.054210, 0.054134,
0.062500, 0.187500, 0.048788, 0.048719,
0.062500, 0.250000, 0.041491, 0.041432,
0.062500, 0.312500, 0.032599, 0.032553,
0.062500, 0.375000, 0.022455, 0.022423,
0.062500, 0.437500, 0.011447, 0.011431,
0.062500, 0.500000, 0.000000, 0.000000,
0.125000, 0.000000, 0.109537, 0.109375,
0.125000, 0.062500, 0.107432, 0.107273,
0.125000, 0.125000, 0.101199, 0.101049,
0.125000, 0.187500, 0.091077, 0.090942,
0.125000, 0.250000, 0.077454, 0.077340,
0.125000, 0.312500, 0.060856, 0.060765,
0.125000, 0.375000, 0.041918, 0.041856,
0.125000, 0.437500, 0.021370, 0.021338,
0.125000, 0.500000, 0.000000, 0.000000,
0.187500, 0.000000, 0.152578, 0.152344,
0.187500, 0.062500, 0.149646, 0.149417,
0.187500, 0.125000, 0.140963, 0.140747,
0.187500, 0.187500, 0.126864, 0.126669,
0.187500, 0.250000, 0.107889, 0.107723,
0.187500, 0.312500, 0.084768, 0.084638,
0.187500, 0.375000, 0.058389, 0.058299,
0.187500, 0.437500, 0.029766, 0.029721,
0.187500, 0.500000, 0.000000, 0.000000,
0.250000, 0.000000, 0.187796, 0.187500,
0.250000, 0.062500, 0.184187, 0.183897,
0.250000, 0.125000, 0.173501, 0.173227,
0.250000, 0.187500, 0.156146, 0.155901,
0.250000, 0.250000, 0.132792, 0.132583,
0.250000, 0.312500, 0.104334, 0.104169,
0.250000, 0.375000, 0.071866, 0.071753,
0.250000, 0.437500, 0.036637, 0.036579,
0.250000, 0.500000, 0.000000, 0.000000,
0.312500, 0.000000, 0.215189, 0.214844,
0.312500, 0.062500, 0.211055, 0.210716,
0.312500, 0.125000, 0.198809, 0.198490,
0.312500, 0.187500, 0.178923, 0.178636,
0.312500, 0.250000, 0.152162, 0.151917,
0.312500, 0.312500, 0.119553, 0.119361,
0.312500, 0.375000, 0.082349, 0.082217,
0.312500, 0.437500, 0.041981, 0.041914,
0.312500, 0.500000, 0.000000, 0.000000,
0.375000, 0.000000, 0.234757, 0.234375,
0.375000, 0.062500, 0.230247, 0.229872,
0.375000, 0.125000, 0.216888, 0.216534,
0.375000, 0.187500, 0.195194, 0.194876,
0.375000, 0.250000, 0.165999, 0.165728,
0.375000, 0.312500, 0.130424, 0.130212,
0.375000, 0.375000, 0.089838, 0.089691,
0.375000, 0.437500, 0.045799, 0.045724,
0.375000, 0.500000, 0.000000, 0.000000,
0.437500, 0.000000, 0.246499, 0.246094,
0.437500, 0.062500, 0.241762, 0.241365,
0.437500, 0.125000, 0.227735, 0.227361,
0.437500, 0.187500, 0.204956, 0.204619,
0.437500, 0.250000, 0.174301, 0.174015,
0.437500, 0.312500, 0.136947, 0.136722,
0.437500, 0.375000, 0.094331, 0.094176,
