x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 7.229529e-01
1.010101e-02, 8.342306e-01, 1.922443e-01, 7.887813e-01, 2.363799e+00, 7.229529e-01
2.020202e-02, 7.614414e-01, 2.921617e-01, 6.967332e-01, 2.287547e+00, 7.229529e-01
3.030303e-02, 7.169380e-01, 3.578847e-01, 6.415025e-01, 2.236953e+00, 7.229529e-01
4.040404e-02, 6.991412e-01, 3.874770e-01, 6.182885e-01, 2.210886e+00, 7.229529e-01
5.050505e-02, 6.786728e-01, 4.200921e-01, 5.931718e-01, 2.185044e+00, 7.229529e-01
6.060606e-02, 6.744610e-01, 4.291360e-01, 5.866667e-01, 2.174576e+00, 7.229529e-01
7.070707e-02, 6.601750e-01, 4.525545e-01, 5.693229e-01, 2.155955e+00, 7.229529e-01
8.080808e-02, 6.597541e-01, 4.553774e-01, 5.675242e-01, 2.150514e+00, 7.229529e-01
9.090909e-02, 6.472261e-01, 4.762045e-01, 5.524984e-01, 2.134101e+00, 7.229529e-01
1.010101e-01, 6.478301e-01, 4.771217e-01, 5.520781e-01, 2.130490e+00, 7.229529e-01
1.111111e-01, 6.358721e-01, 4.972108e-01, 5.379109e-01, 2.114855e+00, 7.229529e-01
1.212121e-01, 6.366762e-01, 4.975429e-01, 5.378914e-01, 2.112107e+00, 7.229529e-01
1.313131e-01, 6.249713e-01, 5.174082e-01, 5.241855e-01, 2.096838e+00, 7.229529e-01
1.414141e-01, 6.257303e-01, 5.175624e-01, 5.242750e-01, 2.094652e+00, 7.229529e-01
1.515152e-01, 6.142041e-01, 5.373359e-01, 5.109256e-01, 2.079625e+00, 7.229529e-01
1.616162e-01, 6.148525e-01, 5.374384e-01, 5.110377e-01, 2.077887e+00, 7.229529e-01
1.717172e-01, 6.034986e-01, 5.571424e-01, 4.980215e-01, 2.063060e+00, 7.229529e-01
1.818182e-01, 6.040288e-01, 5.572321e-01, 4.981319e-01, 2.061706e+00, 7.229529e-01
1.919192e-01, 5.928589e-01, 5.768560e-01, 4.854483e-01, 2.047065e+00, 7.229529e-01
2.020202e-01, 5.932821e-01, 5.769449e-01, 4.855513e-01, 2.046039e+00, 7.229529e-01
2.121212e-01, 5.823121e-01, 5.964669e-01, 4.732061e-01, 2.031583e+00, 7.229529e-01
2.222222e-01, 5.826452e-01, 5.965584e-01, 4.733014e-01, 2.030830e+00, 7.229529e-01
2.323232e-01, 5.718915e-01, 6.159524e-01, 4.613022e-01, 2.016563e+00, 7.229529e-01
2.424242e-01, 5.721520e-01, 6.160469e-01, 4.613908e-01, 2.016032e+00, 7.229529e-01
2.525253e-01, 5.616305e-01, 6.352830e-01, 4.497461e-01, 2.001966e+00, 7.229529e-01
2.626263e-01, 5.618344e-01, 6.353805e-01, 4.498291e-01, 2.001609e+00, 7.229529e-01
2.727273e-01, 5.515606e-01, 6.544256e-01, 4.385478e-01, 1.987759e+00, 7.229529e-01
2.828283e-01, 5.517214e-01, 6.545255e-01, 4.386263e-01, 1.987535e+00, 7.229529e-01
2.929293e-01, 5.417109e-01, 6.733427e-01, 4.277181e-01, 1.973922e+00, 7.229529e-01
