x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 1.016405e+00
1.010101e-02, 8.033707e-01, 2.254409e-01, 7.547742e-01, 2.348773e+00, 1.016405e+00
2.020202e-02, 7.107559e-01, 3.546730e-01, 6.414760e-01, 2.256316e+00, 1.016405e+00
3.030303e-02, 6.565079e-01, 4.387038e-01, 5.764169e-01, 2.195011e+00, 1.016405e+00
4.040404e-02, 6.282749e-01, 4.868834e-01, 5.421429e-01, 2.157268e+00, 1.016405e+00
5.050505e-02, 6.051389e-01, 5.268067e-01, 5.149302e-01, 2.127322e+00, 1.016405e+00
6.060606e-02, 5.952856e-01, 5.459737e-01, 5.025265e-01, 2.110443e+00, 1.016405e+00
7.070707e-02, 5.818941e-01, 5.701061e-01, 4.869810e-01, 2.092223e+00, 1.016405e+00
8.080808e-02, 5.786080e-01, 5.779113e-01, 4.822427e-01, 2.083633e+00, 1.016405e+00
9.090909e-02, 5.687316e-01, 5.960716e-01, 4.708978e-01, 2.069947e+00, 1.016405e+00
1.010101e-01, 5.680106e-01, 5.992640e-01, 4.691039e-01, 2.064679e+00, 1.016405e+00
1.111111e-01, 5.595081e-01, 6.150888e-01, 4.594262e-01, 2.052813e+00, 1.016405e+00
1.212121e-01, 5.598258e-01, 6.163815e-01, 4.588028e-01, 2.048864e+00, 1.016405e+00
1.313131e-01, 5.519113e-01, 6.312508e-01, 4.498700e-01, 2.037782e+00, 1.016405e+00
1.414141e-01, 5.526526e-01, 6.317575e-01, 4.497148e-01, 2.034347e+00, 1.016405e+00
1.515152e-01, 5.450314e-01, 6.461960e-01, 4.411825e-01, 2.023657e+00, 1.016405e+00
1.616162e-01, 5.459392e-01, 6.463786e-01, 4.412114e-01, 2.020424e+00, 1.016405e+00
1.717172e-01, 5.385016e-01, 6.605811e-01, 4.329508e-01, 2.009979e+00, 1.016405e+00
1.818182e-01, 5.394641e-01, 6.606320e-01, 4.330478e-01, 2.006842e+00, 1.016405e+00
1.919192e-01, 5.321719e-01, 6.746649e-01, 4.250123e-01, 1.996593e+00, 1.016405e+00
2.020202e-01, 5.331365e-01, 6.746644e-01, 4.251299e-01, 1.993532e+00, 1.016405e+00
2.121212e-01, 5.259794e-01, 6.885433e-01, 4.173045e-01, 1.983464e+00, 1.016405e+00
2.222222e-01, 5.269187e-01, 6.885252e-01, 4.174233e-01, 1.980492e+00, 1.016405e+00
2.323232e-01, 5.198978e-01, 7.022450e-01, 4.098054e-01, 1.970605e+00, 1.016405e+00
2.424242e-01, 5.207956e-01, 7.022233e-01, 4.099180e-01, 1.967749e+00, 1.016405e+00
2.525253e-01, 5.139171e-01, 7.157697e-01, 4.025098e-01, 1.958048e+00, 1.016405e+00
2.626263e-01, 5.147626e-01, 7.157504e-01, 4.026135e-01, 1.955336e+00, 1.016405e+00
2.727273e-01, 5.080349e-01, 7.291044e-01, 3.954198e-01, 1.945830e+00, 1.016405e+00
2.828283e-01, 5.088206e-01, 7.290900e-01, 3.955140e-01, 1.943288e+00, 1.016405e+00
2.929293e-01, 5.022538e-01, 7.422296e-01, 3.885404e-01, 1.933985e+00, 1.016405e+00
3.030303e-01, 5.029749e-01, 7.422210e-01, 3.886255e-01, 1.931634e+00, 1.016405e+00
3.131313e-01, 4.965796e-01, 7.551215e-01, 3.818787e-01, 1.922545e+00, 1.016405e+00
3.232323e-01, 4.972335e-01, 7.551192e-01, 3.819553e-01, 1.920402e+00, 1.016405e+00
3.333333e-01, 4.910212e-01, 7.677536e-01, 3.754425e-01, 1.911539e+00, 1.016405e+00
3.434343e-01, 4.916071e-01, 7.677578e-01, 3.755115e-01, 1.909612e+00, 1.016405e+00
3.535354e-01, 4.855898e-01, 7.800971e-01, 3.692405e-01, 1.900990e+00, 1.016405e+00
3.636364e-01, 4.861089e-01, 7.801077e-01, 3.693028e-01, 1.899281e+00, 1.016405e+00
3.737374e-01, 4.802988e-01, 7.921205e-01, 3.632818e-01, 1.890916e+00, 1.016405e+00
3.838384e-01, 4.807535e-01, 7.921376e-01, 3.633385e-01, 1.889422e+00, 1.016405e+00
3.939394e-01, 4.751632e-01, 8.037906e-01, 3.575761e-01, 1.881333e+00, 1.016405e+00
4.040404e-01, 4.755574e-01, 8.038142e-01, 3.576280e-01, 1.880046e+00, 1.016405e+00
4.141414e-01, 4.701994e-01, 8.150724e-01, 3.521331e-01, 1.872254e+00, 1.016405e+00
4.242424e-01, 4.705377e-01, 8.151027e-01, 3.521809e-01, 1.871162e+00, 1.016405e+00
4.343434e-01, 4.654245e-01, 8.259298e-01, 3.469626e-01, 1.863689e+00, 1.016405e+00
4.444444e-01, 4.657121e-01, 8.259668e-01, 3.470070e-01, 1.862776e+00, 1.016405e+00
4.545455e-01, 4.608558e-01, 8.363259e-01, 3.420742e-01, 1.855646e+00, 1.016405e+00
4.646465e-01, 4.610982e-01, 8.363701e-01, 3.421157e-01, 1.854896e+00, 1.016405e+00
4.747475e-01, 4.565102e-01, 8.462243e-01, 3.374768e-01, 1.848134e+00, 1.016405e+00
