x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 7.675903e-01
1.010101e-02, 8.293557e-01, 1.976029e-01, 7.832756e-01, 2.361097e+00, 7.675903e-01
2.020202e-02, 7.462773e-01, 3.109359e-01, 6.798394e-01, 2.277436e+00, 7.675903e-01
3.030303e-02, 7.079592e-01, 3.697936e-01, 6.315862e-01, 2.230306e+00, 7.675903e-01
4.040404e-02, 6.785686e-01, 4.159914e-01, 5.956331e-01, 2.194447e+00, 7.675903e-01
5.050505e-02, 6.683532e-01, 4.346941e-01, 5.819146e-01, 2.176673e+00, 7.675903e-01
6.060606e-02, 6.520216e-01, 4.616712e-01, 5.621422e-01, 2.155382e+00, 7.675903e-01
7.070707e-02, 6.497244e-01, 4.677502e-01, 5.580407e-01, 2.147221e+00, 7.675903e-01
8.080808e-02, 6.371214e-01, 4.890096e-01, 5.429440e-01, 2.130457e+00, 7.675903e-01
9.090909e-02, 6.372039e-01, 4.910212e-01, 5.417738e-01, 2.125590e+00, 7.675903e-01
1.010101e-01, 6.257676e-01, 5.105485e-01, 5.282310e-01, 2.110332e+00, 7.675903e-01
1.111111e-01, 6.265242e-01, 5.112388e-01, 5.279734e-01, 2.106756e+00, 7.675903e-01
1.212121e-01, 6.155166e-01, 5.302205e-01, 5.150871e-01, 2.092093e+00, 7.675903e-01
1.313131e-01, 6.163993e-01, 5.304819e-01, 5.151084e-01, 2.089183e+00, 7.675903e-01
1.414141e-01, 6.056120e-01, 5.492648e-01, 5.026186e-01, 2.074837e+00, 7.675903e-01
1.515152e-01, 6.064437e-01, 5.493893e-01, 5.027179e-01, 2.072401e+00, 7.675903e-01
1.616162e-01, 5.958259e-01, 5.680650e-01, 4.905522e-01, 2.058286e+00, 7.675903e-01
1.717172e-01, 5.965532e-01, 5.681484e-01, 4.906665e-01, 2.056256e+00, 7.675903e-01
1.818182e-01, 5.861013e-01, 5.867305e-01, 4.788082e-01, 2.042344e+00, 7.675903e-01
1.919192e-01, 5.867141e-01, 5.868043e-01, 4.789190e-01, 2.040683e+00, 7.675903e-01
2.020202e-01, 5.764386e-01, 6.052810e-01, 4.673681e-01, 2.026964e+00, 7.675903e-01
2.121212e-01, 5.769431e-01, 6.053554e-01, 4.674709e-01, 2.025637e+00, 7.675903e-01
2.222222e-01, 5.668581e-01, 6.237060e-01, 4.562325e-01, 2.012111e+00, 7.675903e-01
2.323232e-01, 5.672669e-01, 6.237841e-01, 4.563271e-01, 2.011078e+00, 7.675903e-01
2.424242e-01, 5.573872e-01, 6.419832e-01, 4.454081e-01, 1.997750e+00, 7.675903e-01
2.525253e-01, 5.577148e-01, 6.420657e-01, 4.454957e-01, 1.996969e+00, 7.675903e-01
2.626263e-01, 5.480554e-01, 6.600847e-01, 4.349038e-01, 1.983849e+00, 7.675903e-01
2.727273e-01, 5.483163e-01, 6.601716e-01, 4.349857e-01, 1.983279e+00, 7.675903e-01
2.828283e-01, 5.388920e-01, 6.779782e-01, 4.247293e-01, 1.970382e+00, 7.675903e-01
2.929293e-01, 5.390997e-01, 6.780692e-01, 4.248068e-01, 1.969982e+00, 7.675903e-01
3.030303e-01, 5.299254e-01, 6.956281e-01, 4.148951e-01, 1.957328e+00, 7.675903e-01
3.131313e-01, 5.300917e-01, 6.957226e-01, 4.149689e-01, 1.957062e+00, 7.675903e-01
3.232323e-01, 5.211826e-01, 7.129943e-01, 4.054119e-01, 1.944673e+00, 7.675903e-01
3.333333e-01, 5.213173e-01, 7.130919e-01, 4.054827e-01, 1.944510e+00, 7.675903e-01
3.434343e-01, 5.126894e-01, 7.300331e-01, 3.962915e-01, 1.932415e+00, 7.675903e-01
3.535354e-01, 5.128005e-01, 7.301331e-01, 3.963596e-01, 1.932329e+00, 7.675903e-01
3.636364e-01, 5.044702e-01, 7.466959e-01, 3.875460e-01, 1.920559e+00, 7.675903e-01
3.737374e-01, 5.045640e-01, 7.467978e-01, 3.876118e-01, 1.920528e+00, 7.675903e-01
3.838384e-01, 4.965490e-01, 7.629300e-01, 3.791886e-01, 1.909120e+00, 7.675903e-01
3.939394e-01, 4.966300e-01, 7.630330e-01, 3.792521e-01, 1.909128e+00, 7.675903e-01
4.040404e-01, 4.889488e-01, 7.786780e-01, 3.712331e-01, 1.898119e+00, 7.675903e-01
4.141414e-01, 4.890204e-01, 7.787815e-01, 3.712943e-01, 1.898153e+00, 7.675903e-01
4.242424e-01, 4.816921e-01, 7.938787e-01, 3.636939e-01, 1.887585e+00, 7.675903e-01
4.343434e-01, 4.817566e-01, 7.939818e-01, 3.637526e-01, 1.887637e+00, 7.675903e-01
4.444444e-01, 4.748012e-01, 8.084673e-01, 3.565858e-01, 1.877553e+00, 7.675903e-01
4.545455e-01, 4.748601e-01, 8.085693e-01, 3.566419e-01, 1.877615e+00, 7.675903e-01
4.646465e-01, 4.682973e-01, 8.223769e-01, 3.499234e-01, 1.868062e+00, 7.675903e-01
4.747475e-01, 4.683516e-01, 8.224770e-01, 3.499766e-01, 1.868130e+00, 7.675903e-01
4.848485e-01, 4.622007e-01, 8.355399e-01, 3.437208e-01, 1.859153e+00, 7.675903e-01
4.949495e-01, 4.622509e-01, 8.356374e-01, 3.437709e-01, 1.859222e+00, 7.675903e-01
5.050505e-01, 4.565297e-01, 8.478903e-01, 3.379904e-01, 1.850868e+00, 7.675903e-01
5.151515e-01, 4.565760e-01, 8.479846e-01, 3.380371e-01, 1.850936e+00, 7.675903e-01
5.252525e-01, 4.512997e-01, 8.593668e-01, 3.327426e-01, 1.843246e+00, 7.675903e-01
5.353535e-01, 4.513420e-01, 8.594574e-01, 3.327855e-01, 1.843311e+00, 7.675903e-01
5.454545e-01, 4.465223e-01, 8.699157e-01, 3.279839e-01, 1.836324e+00, 7.675903e-01
5.555556e-01, 4.465604e-01, 8.700026e-01, 3.280227e-01, 1.836385e+00, 7.675903e-01
