x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 9.796235e-01
1.010101e-02, 8.070710e-01, 2.215485e-01, 7.587522e-01, 2.350327e+00, 9.796235e-01
2.020202e-02, 7.124827e-01, 3.525548e-01, 6.433020e-01, 2.257255e+00, 9.796235e-01
3.030303e-02, 6.641664e-01, 4.283477e-01, 5.844708e-01, 2.200016e+00, 9.796235e-01
4.040404e-02, 6.307521e-01, 4.833641e-01, 5.447066e-01, 2.158957e+00, 9.796235e-01
5.050505e-02, 6.149477e-01, 5.121420e-01, 5.251393e-01, 2.134894e+00, 9.796235e-01
6.060606e-02, 5.981014e-01, 5.417512e-01, 5.053850e-01, 2.112455e+00, 9.796235e-01
7.070707e-02, 5.928063e-01, 5.530808e-01, 4.982217e-01, 2.101115e+00, 9.796235e-01
8.080808e-02, 5.815023e-01, 5.735099e-01, 4.851129e-01, 2.085602e+00, 9.796235e-01
9.090909e-02, 5.800871e-01, 5.780208e-01, 4.824540e-01, 2.079231e+00, 9.796235e-01
1.010101e-01, 5.708256e-01, 5.950086e-01, 4.718161e-01, 2.066376e+00, 9.796235e-01
1.111111e-01, 5.709171e-01, 5.968001e-01, 4.708807e-01, 2.061949e+00, 9.796235e-01
1.212121e-01, 5.624730e-01, 6.124509e-01, 4.612670e-01, 2.050174e+00, 9.796235e-01
1.313131e-01, 5.631559e-01, 6.131500e-01, 4.610008e-01, 2.046506e+00, 9.796235e-01
1.414141e-01, 5.550849e-01, 6.282420e-01, 4.518897e-01, 2.035228e+00, 9.796235e-01
1.515152e-01, 5.559912e-01, 6.285027e-01, 4.518808e-01, 2.031870e+00, 9.796235e-01
1.616162e-01, 5.481321e-01, 6.433198e-01, 4.430829e-01, 2.020876e+00, 9.796235e-01
1.717172e-01, 5.491075e-01, 6.434065e-01, 4.431681e-01, 2.017675e+00, 9.796235e-01
1.818182e-01, 5.414043e-01, 6.580464e-01, 4.346158e-01, 2.006891e+00, 9.796235e-01
1.919192e-01, 5.423801e-01, 6.580662e-01, 4.347306e-01, 2.003810e+00, 9.796235e-01
2.020202e-01, 5.348168e-01, 6.725555e-01, 4.264015e-01, 1.993213e+00, 9.796235e-01
2.121212e-01, 5.357595e-01, 6.725520e-01, 4.265205e-01, 1.990261e+00, 9.796235e-01
2.222222e-01, 5.283354e-01, 6.868893e-01, 4.184095e-01, 1.979848e+00, 9.796235e-01
2.323232e-01, 5.292265e-01, 6.868803e-01, 4.185229e-01, 1.977050e+00, 9.796235e-01
2.424242e-01, 5.219475e-01, 7.010526e-01, 4.106316e-01, 1.966825e+00, 9.796235e-01
2.525253e-01, 5.227760e-01, 7.010453e-01, 4.107362e-01, 1.964207e+00, 9.796235e-01
2.626263e-01, 5.156508e-01, 7.150341e-01, 4.030689e-01, 1.954176e+00, 9.796235e-01
2.727273e-01, 5.164101e-01, 7.150315e-01, 4.031638e-01, 1.951762e+00, 9.796235e-01
2.828283e-01, 5.094491e-01, 7.288144e-01, 3.957263e-01, 1.941933e+00, 9.796235e-01
2.929293e-01, 5.101357e-01, 7.288177e-01, 3.958120e-01, 1.939739e+00, 9.796235e-01
3.030303e-01, 5.033500e-01, 7.423701e-01, 3.886109e-01, 1.930123e+00, 9.796235e-01
3.131313e-01, 5.039629e-01, 7.423796e-01, 3.886882e-01, 1.928159e+00, 9.796235e-01
3.232323e-01, 4.973644e-01, 7.556742e-01, 3.817307e-01, 1.918767e+00, 9.796235e-01
3.333333e-01, 4.979050e-01, 7.556900e-01, 3.818007e-01, 1.917036e+00, 9.796235e-01
3.434343e-01, 4.915060e-01, 7.686970e-01, 3.750946e-01, 1.907884e+00, 9.796235e-01
3.535354e-01, 4.919772e-01, 7.687192e-01, 3.751583e-01, 1.906381e+00, 9.796235e-01
3.636364e-01, 4.857904e-01, 7.814064e-01, 3.687122e-01, 1.897486e+00, 9.796235e-01
3.737374e-01, 4.861966e-01, 7.814349e-01, 3.687707e-01, 1.896201e+00, 9.796235e-01
3.838384e-01, 4.802350e-01, 7.937678e-01, 3.625934e-01, 1.887583e+00, 9.796235e-01
3.939394e-01, 4.805817e-01, 7.938026e-01, 3.626476e-01, 1.886503e+00, 9.796235e-01
4.040404e-01, 4.748585e-01, 8.057445e-01, 3.567485e-01, 1.878183e+00, 9.796235e-01
4.141414e-01, 4.751517e-01, 8.057856e-01, 3.567991e-01, 1.877290e+00, 9.796235e-01
4.242424e-01, 4.696799e-01, 8.172982e-01, 3.511878e-01, 1.869293e+00, 9.796235e-01
4.343434e-01, 4.699261e-01, 8.173456e-01, 3.512357e-01, 1.868568e+00, 9.796235e-01
4.444444e-01, 4.647187e-01, 8.283894e-01, 3.459217e-01, 1.860920e+00, 9.796235e-01
4.545455e-01, 4.649241e-01, 8.284433e-01, 3.459673e-01, 1.860343e+00, 9.796235e-01
4.646465e-01, 4.599937e-01, 8.389782e-01, 3.409601e-01, 1.853070e+00, 9.796235e-01
4.747475e-01, 4.601642e-01, 8.390390e-01, 3.410038e-01, 1.852620e+00, 9.796235e-01
4.848485e-01, 4.555224e-01, 8.490254e-01, 3.363121e-01, 1.845750e+00, 9.796235e-01
4.949495e-01, 4.556637e-01, 8.490936e-01, 3.363540e-01, 1.845407e+00, 9.796235e-01
5.050505e-01, 4.513210e-01, 8.584940e-01, 3.319856e-01, 1.838966e+00, 9.796235e-01
5.151515e-01, 4.514376e-01, 8.585706e-01, 3.320256e-01, 1.838712e+00, 9.796235e-01
5.252525e-01, 4.474029e-01, 8.673505e-01, 3.279865e-01, 1.832725e+00, 9.796235e-01
5.353535e-01, 4.474989e-01, 8.674367e-01, 3.280243e-01, 1.832542e+00, 9.796235e-01
5.454545e-01, 4.437784e-01, 8.755668e-01, 3.243186e-01, 1.827030e+00, 9.796235e-01
5.555556e-01, 4.438570e-01, 8.756645e-01, 3.243534e-01, 1.826903e+00, 9.796235e-01
5.656566e-01, 4.404542e-01, 8.831225e-01, 3.209823e-01, 1.821882e+00, 9.796235e-01
5.757576e-01, 4.405174e-01, 8.832343e-01, 3.210133e-01, 1.821797e+00, 9.796235e-01
5.858586e-01, 4.374323e-01, 8.900062e-01, 3.179745e-01, 1.817279e+00, 9.796235e-01
5.959596e-01, 4.374814e-01, 8.901354e-01, 3.180002e-01, 1.817221e+00, 9.796235e-01
6.060606e-01, 4.347095e-01, 8.962181e-01, 3.152877e-01, 1.813210e+00, 9.796235e-01
6.161616e-01, 4.347448e-01, 8.963689e-01, 3.153063e-01, 1.813169e+00, 9.796235e-01
6.262626e-01, 4.322772e-01, 9.017706e-01, 3.129098e-01, 1.809659e+00, 9.796235e-01
6.363636e-01, 4.322983e-01, 9.019483e-01, 3.129190e-01, 1.809624e+00, 9.796235e-01
6.464646e-01, 4.301214e-01, 9.066897e-01, 3.108236e-01, 1.806604e+00, 9.796235e-01
6.565657e-01, 4.301268e-01, 9.069005e-01, 3.108207e-01, 1.806564e+00, 9.796235e-01
6.666667e-01, 4.282222e-01, 9.110147e-01, 3.090073e-01, 1.804013e+00, 9.796235e-01
6.767677e-01, 4.282098e-01, 9.112655e-01, 3.089891e-01, 1.803958e+00, 9.796235e-01
6.868687e-01, 4.265549e-01, 9.147974e-01, 3.074344e-01, 1.801846e+00, 9.796235e-01
6.969697e-01, 4.265222e-01, 9.150957e-01, 3.073977e-01, 1.801769e+00, 9.796235e-01
7.070707e-01, 4.250905e-01, 9.181000e-01, 3.060753e-01, 1.800059e+00, 9.796235e-01
7.171717e-01, 4.250347e-01, 9.184535e-01, 3.060166e-01, 1.799950e+00, 9.796235e-01
