x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 1.212798e+00
1.010101e-02, 7.944671e-01, 2.347353e-01, 7.452910e-01, 2.345254e+00, 1.212798e+00
2.020202e-02, 6.955897e-01, 3.732966e-01, 6.255440e-01, 2.248250e+00, 1.212798e+00
3.030303e-02, 6.378585e-01, 4.640757e-01, 5.570322e-01, 2.183212e+00, 1.212798e+00
4.040404e-02, 6.055303e-01, 5.198876e-01, 5.185956e-01, 2.141080e+00, 1.212798e+00
5.050505e-02, 5.808812e-01, 5.636604e-01, 4.899984e-01, 2.108858e+00, 1.212798e+00
6.060606e-02, 5.682104e-01, 5.881622e-01, 4.747890e-01, 2.088967e+00, 1.212798e+00
7.070707e-02, 5.545457e-01, 6.137078e-01, 4.591817e-01, 2.070081e+00, 1.212798e+00
8.080808e-02, 5.493873e-01, 6.248564e-01, 4.526701e-01, 2.059886e+00, 1.212798e+00
9.090909e-02, 5.400231e-01, 6.427745e-01, 4.421072e-01, 2.046705e+00, 1.212798e+00
1.010101e-01, 5.380831e-01, 6.479055e-01, 4.392625e-01, 2.040867e+00, 1.212798e+00
1.111111e-01, 5.305530e-01, 6.624950e-01, 4.308549e-01, 2.030216e+00, 1.212798e+00
1.212121e-01, 5.300702e-01, 6.648445e-01, 4.296404e-01, 2.026337e+00, 1.212798e+00
1.313131e-01, 5.233761e-01, 6.779277e-01, 4.222297e-01, 2.016856e+00, 1.212798e+00
1.414141e-01, 5.235741e-01, 6.789770e-01, 4.217561e-01, 2.013832e+00, 1.212798e+00
1.515152e-01, 5.172954e-01, 6.913395e-01, 4.148572e-01, 2.004934e+00, 1.212798e+00
1.616162e-01, 5.178196e-01, 6.917790e-01, 4.147220e-01, 2.002251e+00, 1.212798e+00
1.717172e-01, 5.117768e-01, 7.037591e-01, 4.081282e-01, 1.993682e+00, 1.212798e+00
1.818182e-01, 5.124618e-01, 7.039131e-01, 4.081459e-01, 1.991104e+00, 1.212798e+00
1.919192e-01, 5.065789e-01, 7.156529e-01, 4.017695e-01, 1.982759e+00, 1.212798e+00
2.020202e-01, 5.073460e-01, 7.156747e-01, 4.018540e-01, 1.980177e+00, 1.212798e+00
2.121212e-01, 5.015925e-01, 7.272292e-01, 3.956591e-01, 1.972015e+00, 1.212798e+00
2.222222e-01, 5.024027e-01, 7.271913e-01, 3.957699e-01, 1.969386e+00, 1.212798e+00
2.323232e-01, 4.967681e-01, 7.385767e-01, 3.897431e-01, 1.961393e+00, 1.212798e+00
2.424242e-01, 4.976010e-01, 7.385136e-01, 3.898615e-01, 1.958705e+00, 1.212798e+00
2.525253e-01, 4.920841e-01, 7.497279e-01, 3.839994e-01, 1.950883e+00, 1.212798e+00
2.626263e-01, 4.929274e-01, 7.496561e-01, 3.841167e-01, 1.948140e+00, 1.212798e+00
2.727273e-01, 4.875312e-01, 7.606888e-01, 3.784205e-01, 1.940494e+00, 1.212798e+00
2.828283e-01, 4.883763e-01, 7.606162e-01, 3.785324e-01, 1.937709e+00, 1.212798e+00
2.929293e-01, 4.831063e-01, 7.714521e-01, 3.730058e-01, 1.930247e+00, 1.212798e+00
3.030303e-01, 4.839460e-01, 7.713825e-01, 3.731105e-01, 1.927439e+00, 1.212798e+00
3.131313e-01, 4.788091e-01, 7.820037e-01, 3.677581e-01, 1.920171e+00, 1.212798e+00
3.232323e-01, 4.796370e-01, 7.819391e-01, 3.678547e-01, 1.917360e+00, 1.212798e+00
3.333333e-01, 4.746409e-01, 7.923256e-01, 3.626820e-01, 1.910297e+00, 1.212798e+00
3.434343e-01, 4.754508e-01, 7.922671e-01, 3.627702e-01, 1.907507e+00, 1.212798e+00
3.535354e-01, 4.706039e-01, 8.023975e-01, 3.577831e-01, 1.900659e+00, 1.212798e+00
3.636364e-01, 4.713899e-01, 8.023458e-01, 3.578629e-01, 1.897913e+00, 1.212798e+00
3.737374e-01, 4.667013e-01, 8.121973e-01, 3.530675e-01, 1.891293e+00, 1.212798e+00
3.838384e-01, 4.674580e-01, 8.121529e-01, 3.531391e-01, 1.888614e+00, 1.212798e+00
3.939394e-01, 4.629368e-01, 8.217015e-01, 3.485418e-01, 1.882232e+00, 1.212798e+00
4.040404e-01, 4.636591e-01, 8.216650e-01, 3.486053e-01, 1.879642e+00, 1.212798e+00
4.141414e-01, 4.593151e-01, 8.308861e-01, 3.442128e-01, 1.873511e+00, 1.212798e+00
4.242424e-01, 4.599984e-01, 8.308580e-01, 3.442683e-01, 1.871030e+00, 1.212798e+00
4.343434e-01, 4.558410e-01, 8.397264e-01, 3.400870e-01, 1.865162e+00, 1.212798e+00
4.444444e-01, 4.564815e-01, 8.397076e-01, 3.401348e-01, 1.862807e+00, 1.212798e+00
4.545455e-01, 4.525200e-01, 8.481983e-01, 3.361708e-01, 1.857215e+00, 1.212798e+00
4.646465e-01, 4.531144e-01, 8.481896e-01, 3.362110e-01, 1.855001e+00, 1.212798e+00
4.747475e-01, 4.493577e-01, 8.562782e-01, 3.324701e-01, 1.849696e+00, 1.212798e+00
4.848485e-01, 4.499036e-01, 8.562809e-01, 3.325027e-01, 1.847633e+00, 1.212798e+00
