x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 1.094103e+00
1.010101e-02, 8.002928e-01, 2.286718e-01, 7.514789e-01, 2.347512e+00, 1.094103e+00
2.020202e-02, 7.019777e-01, 3.654514e-01, 6.322248e-01, 2.251584e+00, 1.094103e+00
3.030303e-02, 6.501739e-01, 4.472782e-01, 5.698107e-01, 2.190993e+00, 1.094103e+00
4.040404e-02, 6.151516e-01, 5.058598e-01, 5.285021e-01, 2.147853e+00, 1.094103e+00
5.050505e-02, 5.970485e-01, 5.389348e-01, 5.066064e-01, 2.121295e+00, 1.094103e+00
6.060606e-02, 5.797169e-01, 5.700943e-01, 4.865057e-01, 2.098031e+00, 1.094103e+00
7.070707e-02, 5.729401e-01, 5.840939e-01, 4.778985e-01, 2.085290e+00, 1.094103e+00
8.080808e-02, 5.618408e-01, 6.046736e-01, 4.651878e-01, 2.069927e+00, 1.094103e+00
9.090909e-02, 5.595016e-01, 6.106942e-01, 4.616962e-01, 2.062980e+00, 1.094103e+00
1.010101e-01, 5.508422e-01, 6.270019e-01, 4.518813e-01, 2.050866e+00, 1.094103e+00
1.111111e-01, 5.503623e-01, 6.295879e-01, 4.504943e-01, 2.046354e+00, 1.094103e+00
1.212121e-01, 5.427302e-01, 6.441098e-01, 4.419195e-01, 2.035632e+00, 1.094103e+00
1.313131e-01, 5.430552e-01, 6.451997e-01, 4.414208e-01, 2.032117e+00, 1.094103e+00
1.414141e-01, 5.358978e-01, 6.589343e-01, 4.334427e-01, 2.022040e+00, 1.094103e+00
1.515152e-01, 5.365774e-01, 6.593704e-01, 4.333203e-01, 2.018909e+00, 1.094103e+00
1.616162e-01, 5.296752e-01, 6.727182e-01, 4.256842e-01, 2.009176e+00, 1.094103e+00
1.717172e-01, 5.305113e-01, 6.728695e-01, 4.257186e-01, 2.006171e+00, 1.094103e+00
1.818182e-01, 5.237781e-01, 6.859868e-01, 4.183241e-01, 1.996667e+00, 1.094103e+00
1.919192e-01, 5.246803e-01, 6.860158e-01, 4.184203e-01, 1.993692e+00, 1.094103e+00
2.020202e-01, 5.180842e-01, 6.989582e-01, 4.112290e-01, 1.984373e+00, 1.094103e+00
2.121212e-01, 5.190087e-01, 6.989366e-01, 4.113460e-01, 1.981402e+00, 1.094103e+00
2.222222e-01, 5.125405e-01, 7.117175e-01, 4.043450e-01, 1.972259e+00, 1.094103e+00
2.323232e-01, 5.134633e-01, 7.116770e-01, 4.044648e-01, 1.969297e+00, 1.094103e+00
2.424242e-01, 5.071236e-01, 7.242917e-01, 3.976518e-01, 1.960330e+00, 1.094103e+00
2.525253e-01, 5.080297e-01, 7.242464e-01, 3.977667e-01, 1.957399e+00, 1.094103e+00
2.626263e-01, 5.018234e-01, 7.366815e-01, 3.911439e-01, 1.948614e+00, 1.094103e+00
2.727273e-01, 5.027019e-01, 7.366378e-01, 3.912510e-01, 1.945741e+00, 1.094103e+00
2.828283e-01, 4.966362e-01, 7.488756e-01, 3.848227e-01, 1.937146e+00, 1.094103e+00
2.929293e-01, 4.974786e-01, 7.488361e-01, 3.849208e-01, 1.934359e+00, 1.094103e+00
3.030303e-01, 4.915622e-01, 7.608561e-01, 3.786924e-01, 1.925964e+00, 1.094103e+00
3.131313e-01, 4.923613e-01, 7.608223e-01, 3.787815e-01, 1.923290e+00, 1.094103e+00
3.232323e-01, 4.866038e-01, 7.726015e-01, 3.727592e-01, 1.915106e+00, 1.094103e+00
