x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 8.816318e-01
1.010101e-02, 8.152630e-01, 2.128467e-01, 7.676506e-01, 2.353997e+00, 8.816318e-01
2.020202e-02, 7.250477e-01, 3.371175e-01, 6.567137e-01, 2.264381e+00, 8.816318e-01
3.030303e-02, 6.806743e-01, 4.061790e-01, 6.019924e-01, 2.211015e+00, 8.816318e-01
4.040404e-02, 6.489537e-01, 4.574830e-01, 5.638422e-01, 2.172120e+00, 8.816318e-01
5.050505e-02, 6.355304e-01, 4.819236e-01, 5.467201e-01, 2.150645e+00, 8.816318e-01
6.060606e-02, 6.190386e-01, 5.102105e-01, 5.271313e-01, 2.128831e+00, 8.816318e-01
7.070707e-02, 6.151349e-01, 5.191093e-01, 5.213435e-01, 2.118818e+00, 8.816318e-01
8.080808e-02, 6.034375e-01, 5.396834e-01, 5.075891e-01, 2.102907e+00, 8.816318e-01
9.090909e-02, 6.027981e-01, 5.429564e-01, 5.056470e-01, 2.097083e+00, 8.816318e-01
1.010101e-01, 5.927544e-01, 5.608688e-01, 4.939519e-01, 2.083291e+00, 8.816318e-01
1.111111e-01, 5.932602e-01, 5.620769e-01, 4.933660e-01, 2.079046e+00, 8.816318e-01
1.212121e-01, 5.838485e-01, 5.790337e-01, 4.825128e-01, 2.066087e+00, 8.816318e-01
1.313131e-01, 5.847347e-01, 5.794812e-01, 4.824066e-01, 2.062502e+00, 8.816318e-01
1.414141e-01, 5.756161e-01, 5.960580e-01, 4.719920e-01, 2.049943e+00, 8.816318e-01
1.515152e-01, 5.765955e-01, 5.962270e-01, 4.720500e-01, 2.046712e+00, 8.816318e-01
1.616162e-01, 5.676605e-01, 6.126120e-01, 4.619411e-01, 2.034407e+00, 8.816318e-01
1.717172e-01, 5.686206e-01, 6.126815e-01, 4.620493e-01, 2.031448e+00, 8.816318e-01
1.818182e-01, 5.598386e-01, 6.289283e-01, 4.522043e-01, 2.019351e+00, 8.816318e-01
1.919192e-01, 5.607332e-01, 6.289649e-01, 4.523218e-01, 2.016653e+00, 8.816318e-01
2.020202e-01, 5.521011e-01, 6.450798e-01, 4.427301e-01, 2.004751e+00, 8.816318e-01
2.121212e-01, 5.529110e-01, 6.451083e-01, 4.428428e-01, 2.002324e+00, 8.816318e-01
2.222222e-01, 5.444354e-01, 6.610799e-01, 4.335046e-01, 1.990615e+00, 8.816318e-01
2.323232e-01, 5.451537e-01, 6.611096e-01, 4.336084e-01, 1.988469e+00, 8.816318e-01
2.424242e-01, 5.368452e-01, 6.769189e-01, 4.245279e-01, 1.976956e+00, 8.816318e-01
2.525253e-01, 5.374717e-01, 6.769531e-01, 4.246224e-01, 1.975092e+00, 8.816318e-01
2.626263e-01, 5.293422e-01, 6.925772e-01, 4.158053e-01, 1.963783e+00, 8.816318e-01
2.727273e-01, 5.298804e-01, 6.926171e-01, 4.158912e-01, 1.962194e+00, 8.816318e-01
