x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 9.959688e-01
1.010101e-02, 8.059486e-01, 2.227326e-01, 7.575426e-01, 2.349848e+00, 9.959688e-01
2.020202e-02, 7.107496e-01, 3.546824e-01, 6.414666e-01, 2.256303e+00, 9.959688e-01
3.030303e-02, 6.618695e-01, 4.314451e-01, 5.820531e-01, 2.198519e+00, 9.959688e-01
4.040404e-02, 6.282023e-01, 4.870193e-01, 5.420467e-01, 2.157134e+00, 9.959688e-01
5.050505e-02, 6.120385e-01, 5.164609e-01, 5.221139e-01, 2.132684e+00, 9.959688e-01
6.060606e-02, 5.951249e-01, 5.462947e-01, 5.023167e-01, 2.110131e+00, 9.959688e-01
7.070707e-02, 5.896068e-01, 5.580195e-01, 4.949355e-01, 2.098583e+00, 9.959688e-01
8.080808e-02, 5.783454e-01, 5.784529e-01, 4.819027e-01, 2.083110e+00, 9.959688e-01
9.090909e-02, 5.767967e-01, 5.831776e-01, 4.791235e-01, 2.076657e+00, 9.959688e-01
1.010101e-01, 5.676385e-01, 6.000451e-01, 4.686264e-01, 2.063930e+00, 9.959688e-01
1.111111e-01, 5.676515e-01, 6.019438e-01, 4.676285e-01, 2.059488e+00, 9.959688e-01
1.212121e-01, 5.593414e-01, 6.174097e-01, 4.581867e-01, 2.047885e+00, 9.959688e-01
1.313131e-01, 5.599785e-01, 6.181587e-01, 4.578899e-01, 2.044230e+00, 9.959688e-01
1.414141e-01, 5.520557e-01, 6.330341e-01, 4.489632e-01, 2.033142e+00, 9.959688e-01
1.515152e-01, 5.529363e-01, 6.333154e-01, 4.489402e-01, 2.029801e+00, 9.959688e-01
1.616162e-01, 5.452311e-01, 6.479010e-01, 4.403296e-01, 2.019004e+00, 9.959688e-01
1.717172e-01, 5.461947e-01, 6.479938e-01, 4.404092e-01, 2.015807e+00, 9.959688e-01
1.818182e-01, 5.386467e-01, 6.623952e-01, 4.320425e-01, 2.005222e+00, 9.959688e-01
1.919192e-01, 5.396213e-01, 6.624142e-01, 4.321558e-01, 2.002125e+00, 9.959688e-01
2.020202e-01, 5.322123e-01, 6.766617e-01, 4.240086e-01, 1.991727e+00, 9.959688e-01
2.121212e-01, 5.331626e-01, 6.766542e-01, 4.241281e-01, 1.988737e+00, 9.959688e-01
2.222222e-01, 5.258907e-01, 6.907484e-01, 4.161943e-01, 1.978521e+00, 9.959688e-01
2.323232e-01, 5.267972e-01, 6.907338e-01, 4.163090e-01, 1.975661e+00, 9.959688e-01
2.424242e-01, 5.196676e-01, 7.046628e-01, 4.085897e-01, 1.965630e+00, 9.959688e-01
2.525253e-01, 5.205181e-01, 7.046493e-01, 4.086959e-01, 1.962929e+00, 9.959688e-01
2.626263e-01, 5.135389e-01, 7.183952e-01, 4.011950e-01, 1.953090e+00, 9.959688e-01
2.727273e-01, 5.143256e-01, 7.183860e-01, 4.012917e-01, 1.950572e+00, 9.959688e-01
2.828283e-01, 5.075067e-01, 7.319273e-01, 3.940149e-01, 1.940934e+00, 9.959688e-01
2.929293e-01, 5.082250e-01, 7.319238e-01, 3.941022e-01, 1.938621e+00, 9.959688e-01
3.030303e-01, 5.015771e-01, 7.452364e-01, 3.870558e-01, 1.929194e+00, 9.959688e-01
3.131313e-01, 5.022248e-01, 7.452391e-01, 3.871345e-01, 1.927098e+00, 9.959688e-01
3.232323e-01, 4.957595e-01, 7.582963e-01, 3.803257e-01, 1.917894e+00, 9.959688e-01
3.333333e-01, 4.963363e-01, 7.583055e-01, 3.803967e-01, 1.916023e+00, 9.959688e-01
3.434343e-01, 4.900658e-01, 7.710783e-01, 3.738331e-01, 1.907056e+00, 9.959688e-01
3.535354e-01, 4.905736e-01, 7.710938e-01, 3.738975e-01, 1.905410e+00, 9.959688e-01
3.636364e-01, 4.845102e-01, 7.835510e-01, 3.675874e-01, 1.896696e+00, 9.959688e-01
3.737374e-01, 4.849522e-01, 7.835730e-01, 3.676461e-01, 1.895270e+00, 9.959688e-01
3.838384e-01, 4.791087e-01, 7.956810e-01, 3.615982e-01, 1.886828e+00, 9.959688e-01
3.939394e-01, 4.794894e-01, 7.957093e-01, 3.616522e-01, 1.885611e+00, 9.959688e-01
4.040404e-01, 4.738787e-01, 8.074326e-01, 3.558756e-01, 1.877461e+00, 9.959688e-01
4.141414e-01, 4.742034e-01, 8.074673e-01, 3.559256e-01, 1.876440e+00, 9.959688e-01
4.242424e-01, 4.688384e-01, 8.187688e-01, 3.504296e-01, 1.868606e+00, 9.959688e-01
4.343434e-01, 4.691129e-01, 8.188100e-01, 3.504765e-01, 1.867762e+00, 9.959688e-01
4.444444e-01, 4.640061e-01, 8.296513e-01, 3.452704e-01, 1.860268e+00, 9.959688e-01
