x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 1.069560e+00
1.010101e-02, 8.015530e-01, 2.273523e-01, 7.528255e-01, 2.348022e+00, 1.069560e+00
2.020202e-02, 7.039381e-01, 3.630446e-01, 6.342833e-01, 2.252625e+00, 1.069560e+00
3.030303e-02, 6.527978e-01, 4.437167e-01, 5.725476e-01, 2.192668e+00, 1.069560e+00
4.040404e-02, 6.180893e-01, 5.015984e-01, 5.315414e-01, 2.149938e+00, 1.069560e+00
5.050505e-02, 6.004376e-01, 5.338197e-01, 5.101013e-01, 2.123873e+00, 1.069560e+00
6.060606e-02, 5.832112e-01, 5.646534e-01, 4.900818e-01, 2.100790e+00, 1.069560e+00
7.070707e-02, 5.767354e-01, 5.781015e-01, 4.817677e-01, 2.088339e+00, 1.069560e+00
8.080808e-02, 5.656084e-01, 5.986282e-01, 4.689951e-01, 2.072967e+00, 1.069560e+00
9.090909e-02, 5.634635e-01, 6.043245e-01, 4.656791e-01, 2.066145e+00, 1.069560e+00
1.010101e-01, 5.546966e-01, 6.207484e-01, 4.557169e-01, 2.053902e+00, 1.069560e+00
1.111111e-01, 5.543416e-01, 6.231567e-01, 4.544289e-01, 2.049408e+00, 1.069560e+00
1.212121e-01, 5.465582e-01, 6.378899e-01, 4.456612e-01, 2.038489e+00, 1.069560e+00
1.313131e-01, 5.469653e-01, 6.388884e-01, 4.452156e-01, 2.034935e+00, 1.069560e+00
1.414141e-01, 5.396345e-01, 6.528844e-01, 4.370233e-01, 2.024627e+00, 1.069560e+00
1.515152e-01, 5.403699e-01, 6.532770e-01, 4.369281e-01, 2.021431e+00, 1.069560e+00
1.616162e-01, 5.332844e-01, 6.669114e-01, 4.290702e-01, 2.011451e+00, 1.069560e+00
1.717172e-01, 5.341594e-01, 6.670447e-01, 4.291177e-01, 2.008379e+00, 1.069560e+00
1.818182e-01, 5.272394e-01, 6.804609e-01, 4.215009e-01, 1.998622e+00, 1.069560e+00
1.919192e-01, 5.281683e-01, 6.804850e-01, 4.216027e-01, 1.995589e+00, 1.069560e+00
2.020202e-01, 5.213854e-01, 6.937319e-01, 4.141923e-01, 1.986018e+00, 1.069560e+00
2.121212e-01, 5.223262e-01, 6.937122e-01, 4.143107e-01, 1.983008e+00, 1.069560e+00
2.222222e-01, 5.156731e-01, 7.067998e-01, 4.070956e-01, 1.973613e+00, 1.069560e+00
2.323232e-01, 5.166027e-01, 7.067646e-01, 4.072147e-01, 1.970638e+00, 1.069560e+00
2.424242e-01, 5.100810e-01, 7.196862e-01, 4.001934e-01, 1.961421e+00, 1.069560e+00
2.525253e-01, 5.109848e-01, 7.196479e-01, 4.003065e-01, 1.958505e+00, 1.069560e+00
2.626263e-01, 5.046002e-01, 7.323890e-01, 3.934818e-01, 1.949473e+00, 1.069560e+00
2.727273e-01, 5.054675e-01, 7.323530e-01, 3.935864e-01, 1.946646e+00, 1.069560e+00
2.828283e-01, 4.992280e-01, 7.448951e-01, 3.869628e-01, 1.937806e+00, 1.069560e+00
2.929293e-01, 5.000506e-01, 7.448639e-01, 3.870583e-01, 1.935095e+00, 1.069560e+00
3.030303e-01, 4.939653e-01, 7.571853e-01, 3.806415e-01, 1.926459e+00, 1.069560e+00
3.131313e-01, 4.947369e-01, 7.571599e-01, 3.807278e-01, 1.923890e+00, 1.069560e+00
