x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 8.693953e-01
1.010101e-02, 8.147224e-01, 2.134229e-01, 7.670595e-01, 2.353745e+00, 8.693953e-01
2.020202e-02, 7.297744e-01, 3.312982e-01, 6.618136e-01, 2.267186e+00, 8.693953e-01
3.030303e-02, 6.795258e-01, 4.077376e-01, 6.007495e-01, 2.210179e+00, 8.693953e-01
4.040404e-02, 6.557737e-01, 4.478259e-01, 5.711143e-01, 2.177254e+00, 8.693953e-01
5.050505e-02, 6.340161e-01, 4.841953e-01, 5.450791e-01, 2.149311e+00, 8.693953e-01
6.060606e-02, 6.268675e-01, 4.984840e-01, 5.354070e-01, 2.135248e+00, 8.693953e-01
7.070707e-02, 6.133891e-01, 5.218608e-01, 5.194493e-01, 2.117128e+00, 8.693953e-01
8.080808e-02, 6.116626e-01, 5.270393e-01, 5.162044e-01, 2.109841e+00, 8.693953e-01
9.090909e-02, 6.008977e-01, 5.460440e-01, 5.035847e-01, 2.095135e+00, 8.693953e-01
1.010101e-01, 6.010415e-01, 5.479336e-01, 5.025520e-01, 2.090338e+00, 8.693953e-01
1.111111e-01, 5.912472e-01, 5.654233e-01, 4.911832e-01, 2.076894e+00, 8.693953e-01
1.212121e-01, 5.920240e-01, 5.661167e-01, 4.909249e-01, 2.073079e+00, 8.693953e-01
1.313131e-01, 5.826317e-01, 5.830468e-01, 4.801297e-01, 2.060176e+00, 8.693953e-01
1.414141e-01, 5.835902e-01, 5.833057e-01, 4.801383e-01, 2.056830e+00, 8.693953e-01
1.515152e-01, 5.744154e-01, 5.999904e-01, 4.696947e-01, 2.044229e+00, 8.693953e-01
1.616162e-01, 5.753847e-01, 6.000938e-01, 4.697893e-01, 2.041196e+00, 8.693953e-01
1.717172e-01, 5.663720e-01, 6.166294e-01, 4.596266e-01, 2.028819e+00, 8.693953e-01
1.818182e-01, 5.672848e-01, 6.166797e-01, 4.597426e-01, 2.026066e+00, 8.693953e-01
1.919192e-01, 5.584229e-01, 6.330870e-01, 4.498407e-01, 2.013889e+00, 8.693953e-01
2.020202e-01, 5.592522e-01, 6.331219e-01, 4.499559e-01, 2.011418e+00, 8.693953e-01
2.121212e-01, 5.505452e-01, 6.493947e-01, 4.403116e-01, 1.999434e+00, 8.693953e-01
2.222222e-01, 5.512810e-01, 6.494282e-01, 4.404189e-01, 1.997252e+00, 8.693953e-01
2.323232e-01, 5.427387e-01, 6.655497e-01, 4.310353e-01, 1.985464e+00, 8.693953e-01
2.424242e-01, 5.433798e-01, 6.655869e-01, 4.311333e-01, 1.983573e+00, 8.693953e-01
2.525253e-01, 5.350141e-01, 6.815354e-01, 4.220159e-01, 1.971985e+00, 8.693953e-01
2.626263e-01, 5.355640e-01, 6.815779e-01, 4.221051e-01, 1.970377e+00, 8.693953e-01
2.727273e-01, 5.273875e-01, 6.973282e-01, 4.132604e-01, 1.958998e+00, 8.693953e-01
2.828283e-01, 5.278528e-01, 6.973766e-01, 4.133419e-01, 1.957657e+00, 8.693953e-01
2.929293e-01, 5.198788e-01, 7.129004e-01, 4.047774e-01, 1.946499e+00, 8.693953e-01
3.030303e-01, 5.202678e-01, 7.129547e-01, 4.048526e-01, 1.945405e+00, 8.693953e-01
3.131313e-01, 5.125098e-01, 7.282210e-01, 3.965763e-01, 1.934482e+00, 8.693953e-01
3.232323e-01, 5.128319e-01, 7.282811e-01, 3.966464e-01, 1.933608e+00, 8.693953e-01
3.333333e-01, 5.053037e-01, 7.432554e-01, 3.886672e-01, 1.922939e+00, 8.693953e-01
3.434343e-01, 5.055685e-01, 7.433211e-01, 3.887333e-01, 1.922258e+00, 8.693953e-01
