x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 7.838521e-01
1.010101e-02, 8.269433e-01, 2.002369e-01, 7.805715e-01, 2.359810e+00, 7.838521e-01
2.020202e-02, 7.426781e-01, 3.153848e-01, 6.758754e-01, 2.275129e+00, 7.838521e-01
3.030303e-02, 7.033866e-01, 3.758740e-01, 6.265675e-01, 2.226967e+00, 7.838521e-01
4.040404e-02, 6.736442e-01, 4.228471e-01, 5.902846e-01, 2.190639e+00, 7.838521e-01
5.050505e-02, 6.629495e-01, 4.424040e-01, 5.760457e-01, 2.172283e+00, 7.838521e-01
6.060606e-02, 6.466227e-01, 4.695405e-01, 5.563373e-01, 2.150935e+00, 7.838521e-01
7.070707e-02, 6.441074e-01, 4.760111e-01, 5.519948e-01, 2.142480e+00, 7.838521e-01
8.080808e-02, 6.316731e-01, 4.971303e-01, 5.371406e-01, 2.125865e+00, 7.838521e-01
9.090909e-02, 6.316731e-01, 4.993053e-01, 5.358677e-01, 2.120827e+00, 7.838521e-01
1.010101e-01, 6.204755e-01, 5.185614e-01, 5.226394e-01, 2.105802e+00, 7.838521e-01
1.111111e-01, 6.212175e-01, 5.193137e-01, 5.223415e-01, 2.102088e+00, 7.838521e-01
1.212121e-01, 6.104758e-01, 5.379690e-01, 5.097933e-01, 2.087688e+00, 7.838521e-01
1.313131e-01, 6.113783e-01, 5.382502e-01, 5.098005e-01, 2.084636e+00, 7.838521e-01
1.414141e-01, 6.008652e-01, 5.566826e-01, 4.976524e-01, 2.070566e+00, 7.838521e-01
1.515152e-01, 6.017343e-01, 5.568100e-01, 4.977480e-01, 2.067973e+00, 7.838521e-01
1.616162e-01, 5.913911e-01, 5.751235e-01, 4.859193e-01, 2.054137e+00, 7.838521e-01
1.717172e-01, 5.921642e-01, 5.752035e-01, 4.860339e-01, 2.051939e+00, 7.838521e-01
1.818182e-01, 5.819838e-01, 5.934164e-01, 4.745048e-01, 2.038308e+00, 7.838521e-01
1.919192e-01, 5.826454e-01, 5.934845e-01, 4.746169e-01, 2.036474e+00, 7.838521e-01
2.020202e-01, 5.726363e-01, 6.115875e-01, 4.633861e-01, 2.023038e+00, 7.838521e-01
2.121212e-01, 5.731890e-01, 6.116555e-01, 4.634902e-01, 2.021542e+00, 7.838521e-01
2.222222e-01, 5.633646e-01, 6.296290e-01, 4.525622e-01, 2.008301e+00, 7.838521e-01
2.323232e-01, 5.638183e-01, 6.297007e-01, 4.526578e-01, 2.007109e+00, 7.838521e-01
2.424242e-01, 5.541929e-01, 6.475203e-01, 4.420389e-01, 1.994066e+00, 7.838521e-01
2.525253e-01, 5.545605e-01, 6.475967e-01, 4.421272e-01, 1.993142e+00, 7.838521e-01
2.626263e-01, 5.451487e-01, 6.652346e-01, 4.318249e-01, 1.980308e+00, 7.838521e-01
2.727273e-01, 5.454441e-01, 6.653159e-01, 4.319071e-01, 1.979612e+00, 7.838521e-01
2.828283e-01, 5.362604e-01, 6.827410e-01, 4.219296e-01, 1.966999e+00, 7.838521e-01
2.929293e-01, 5.364968e-01, 6.828267e-01, 4.220070e-01, 1.966494e+00, 7.838521e-01
3.030303e-01, 5.275559e-01, 7.000045e-01, 4.123631e-01, 1.954120e+00, 7.838521e-01
