x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 8.164110e-01
1.010101e-02, 8.225573e-01, 2.050003e-01, 7.756863e-01, 2.357545e+00, 8.164110e-01
2.020202e-02, 7.360981e-01, 3.235077e-01, 6.686746e-01, 2.271011e+00, 8.164110e-01
3.030303e-02, 6.949716e-01, 3.870808e-01, 6.173951e-01, 2.220936e+00, 8.164110e-01
4.040404e-02, 6.645422e-01, 4.355617e-01, 5.804660e-01, 2.183706e+00, 8.164110e-01
5.050505e-02, 6.529062e-01, 4.567973e-01, 5.652190e-01, 2.164243e+00, 8.164110e-01
6.060606e-02, 6.365570e-01, 4.842849e-01, 5.455958e-01, 2.142761e+00, 8.164110e-01
7.070707e-02, 6.335900e-01, 4.915538e-01, 5.407693e-01, 2.133751e+00, 8.164110e-01
8.080808e-02, 6.214503e-01, 5.124375e-01, 5.263450e-01, 2.117406e+00, 8.164110e-01
9.090909e-02, 6.212616e-01, 5.149575e-01, 5.248579e-01, 2.112065e+00, 8.164110e-01
1.010101e-01, 6.104990e-01, 5.337132e-01, 5.122044e-01, 2.097483e+00, 8.164110e-01
1.111111e-01, 6.111889e-01, 5.346016e-01, 5.118188e-01, 2.093538e+00, 8.164110e-01
1.212121e-01, 6.009386e-01, 5.526425e-01, 4.998959e-01, 2.079646e+00, 8.164110e-01
1.313131e-01, 6.018608e-01, 5.529698e-01, 4.998708e-01, 2.076355e+00, 8.164110e-01
1.414141e-01, 5.918582e-01, 5.707379e-01, 4.883575e-01, 2.062814e+00, 8.164110e-01
1.515152e-01, 5.927863e-01, 5.708743e-01, 4.884436e-01, 2.059948e+00, 8.164110e-01
1.616162e-01, 5.829561e-01, 5.884998e-01, 4.772426e-01, 2.046649e+00, 8.164110e-01
1.717172e-01, 5.838098e-01, 5.885740e-01, 4.773565e-01, 2.044144e+00, 8.164110e-01
1.818182e-01, 5.741373e-01, 6.060861e-01, 4.664411e-01, 2.031052e+00, 8.164110e-01
1.919192e-01, 5.748903e-01, 6.061428e-01, 4.665555e-01, 2.028889e+00, 8.164110e-01
2.020202e-01, 5.653804e-01, 6.235367e-01, 4.559215e-01, 2.015995e+00, 8.164110e-01
2.121212e-01, 5.660274e-01, 6.235915e-01, 4.560285e-01, 2.014162e+00, 8.164110e-01
2.222222e-01, 5.566915e-01, 6.408503e-01, 4.456790e-01, 2.001463e+00, 8.164110e-01
2.323232e-01, 5.572369e-01, 6.409084e-01, 4.457770e-01, 1.999944e+00, 8.164110e-01
2.424242e-01, 5.480881e-01, 6.580095e-01, 4.357178e-01, 1.987444e+00, 8.164110e-01
2.525253e-01, 5.485409e-01, 6.580726e-01, 4.358076e-01, 1.986213e+00, 8.164110e-01
2.626263e-01, 5.395931e-01, 6.749899e-01, 4.260455e-01, 1.973920e+00, 8.164110e-01
2.727273e-01, 5.399645e-01, 6.750583e-01, 4.261284e-01, 1.972947e+00, 8.164110e-01
2.828283e-01, 5.312317e-01, 6.917625e-01, 4.166711e-01, 1.960873e+00, 8.164110e-01
2.929293e-01, 5.315336e-01, 6.918363e-01, 4.167485e-01, 1.960123e+00, 8.164110e-01
3.030303e-01, 5.230300e-01, 7.082948e-01, 4.076044e-01, 1.948284e+00, 8.164110e-01
3.131313e-01, 5.232742e-01, 7.083736e-01, 4.076774e-01, 1.947724e+00, 8.164110e-01
3.232323e-01, 5.150143e-01, 7.245506e-01, 3.988558e-01, 1.936140e+00, 8.164110e-01
3.333333e-01, 5.152117e-01, 7.246340e-01, 3.989254e-01, 1.935735e+00, 8.164110e-01
3.434343e-01, 5.072102e-01, 7.404899e-01, 3.904362e-01, 1.924430e+00, 8.164110e-01
3.535354e-01, 5.073706e-01, 7.405777e-01, 3.905032e-01, 1.924152e+00, 8.164110e-01
3.636364e-01, 4.996430e-01, 7.560691e-01, 3.823574e-01, 1.913153e+00, 8.164110e-01
3.737374e-01, 4.997747e-01, 7.561609e-01, 3.824223e-01, 1.912974e+00, 8.164110e-01
3.838384e-01, 4.923370e-01, 7.712407e-01, 3.746316e-01, 1.902313e+00, 8.164110e-01
3.939394e-01, 4.924468e-01, 7.713360e-01, 3.746947e-01, 1.902209e+00, 8.164110e-01
4.040404e-01, 4.853159e-01, 7.859535e-01, 3.672716e-01, 1.891920e+00, 8.164110e-01
4.141414e-01, 4.854093e-01, 7.860519e-01, 3.673332e-01, 1.891874e+00, 8.164110e-01
4.242424e-01, 4.786023e-01, 8.001529e-01, 3.602906e-01, 1.881994e+00, 8.164110e-01
4.343434e-01, 4.786836e-01, 8.002539e-01, 3.603508e-01, 1.881989e+00, 8.164110e-01
4.444444e-01, 4.722181e-01, 8.137818e-01, 3.537021e-01, 1.872557e+00, 8.164110e-01
4.545455e-01, 4.722905e-01, 8.138849e-01, 3.537609e-01, 1.872581e+00, 8.164110e-01
4.646465e-01, 4.661841e-01, 8.267812e-01, 3.475193e-01, 1.863638e+00, 8.164110e-01
4.747475e-01, 4.662497e-01, 8.268859e-01, 3.475765e-01, 1.863682e+00, 8.164110e-01
4.848485e-01, 4.605195e-01, 8.390922e-01, 3.417548e-01, 1.855268e+00, 8.164110e-01
4.949495e-01, 4.605798e-01, 8.391980e-01, 3.418102e-01, 1.855326e+00, 8.164110e-01
5.050505e-01, 4.552413e-01, 8.506572e-01, 3.364197e-01, 1.847480e+00, 8.164110e-01
5.151515e-01, 4.552973e-01, 8.507638e-01, 3.364729e-01, 1.847545e+00, 8.164110e-01
5.252525e-01, 4.503639e-01, 8.614231e-01, 3.315229e-01, 1.840306e+00, 8.164110e-01
5.353535e-01, 4.504159e-01, 8.615304e-01, 3.315736e-01, 1.840374e+00, 8.164110e-01
5.454545e-01, 4.458979e-01, 8.713439e-01, 3.270702e-01, 1.833773e+00, 8.164110e-01
5.555556e-01, 4.459459e-01, 8.714519e-01, 3.271177e-01, 1.833842e+00, 8.164110e-01
5.656566e-01, 4.418490e-01, 8.803836e-01, 3.230633e-01, 1.827906e+00, 8.164110e-01
5.757576e-01, 4.418926e-01, 8.804931e-01, 3.231068e-01, 1.827971e+00, 8.164110e-01
5.858586e-01, 4.382173e-01, 8.885199e-01, 3.194985e-01, 1.822718e+00, 8.164110e-01
5.959596e-01, 4.382554e-01, 8.886323e-01, 3.195368e-01, 1.822777e+00, 8.164110e-01
6.060606e-01, 4.349956e-01, 8.957472e-01, 3.163659e-01, 1.818214e+00, 8.164110e-01
6.161616e-01, 4.350269e-01, 8.958649e-01, 3.163974e-01, 1.818264e+00, 8.164110e-01
6.262626e-01, 4.321693e-01, 9.020788e-01, 3.136487e-01, 1.814386e+00, 8.164110e-01
6.363636e-01, 4.321918e-01, 9.022056e-01, 3.136714e-01, 1.814422e+00, 8.164110e-01
6.464646e-01, 4.297157e-01, 9.075492e-01, 3.113226e-01, 1.811213e+00, 8.164110e-01
6.565657e-01, 4.297267e-01, 9.076902e-01, 3.113337e-01, 1.811231e+00, 8.164110e-01
6.666667e-01, 4.276038e-01, 9.122132e-01, 3.093561e-01, 1.808661e+00, 8.164110e-01
6.767677e-01, 4.276002e-01, 9.123755e-01, 3.093524e-01, 1.808655e+00, 8.164110e-01
6.868687e-01, 4.257952e-01, 9.161456e-01, 3.077109e-01, 1.806684e+00, 8.164110e-01
6.969697e-01, 4.257731e-01, 9.163378e-01, 3.076886e-01, 1.806647e+00, 8.164110e-01
7.070707e-01, 4.242452e-01, 9.194376e-01, 3.063435e-01, 1.805227e+00, 8.164110e-01
7.171717e-01, 4.242001e-01, 9.196699e-01, 3.062980e-01, 1.805150e+00, 8.164110e-01
7.272727e-01, 4.229044e-01, 9.221923e-01, 3.052063e-01, 1.804228e+00, 8.164110e-01
7.373737e-01, 4.228317e-01, 9.224762e-01, 3.051329e-01, 1.804104e+00, 8.164110e-01
7.474747e-01, 4.217206e-01, 9.245197e-01, 3.042505e-01, 1.803626e+00, 8.164110e-01
7.575758e-01, 4.216156e-01, 9.248669e-01, 3.041443e-01, 1.803445e+00, 8.164110e-01
7.676768e-01, 4.206412e-01, 9.265302e-01, 3.034276e-01, 1.803363e+00, 8.164110e-01
7.777778e-01, 4.204996e-01, 9.269517e-01, 3.032843e-01, 1.803119e+00, 8.164110e-01
7.878788e-01, 4.196149e-01, 9.283286e-01, 3.026925e-01, 1.803395e+00, 8.164110e-01
7.979798e-01, 4.194332e-01, 9.288340e-01, 3.025086e-01, 1.803079e+00, 8.164110e-01
8.080808e-01, 4.185935e-01, 9.300090e-01, 3.020053e-01, 1.803690e+00, 8.164110e-01
8.181818e-01, 4.183697e-01, 9.306052e-01, 3.017784e-01, 1.803299e+00, 8.164110e-01
8.282828e-01, 4.175332e-01, 9.316506e-01, 3.013325e-01, 1.804243e+00, 8.164110e-01
8.383838e-01, 4.172668e-01, 9.323404e-01, 3.010622e-01, 1.803775e+00, 8.164110e-01
8.484848e-01, 4.163943e-01, 9.333142e-01, 3.006491e-01, 1.805075e+00, 8.164110e-01
8.585859e-01, 4.160866e-01, 9.340961e-01, 3.003367e-01, 1.804532e+00, 8.164110e-01
8.686869e-01, 4.151404e-01, 9.350412e-01, 2.999381e-01, 1.806245e+00, 8.164110e-01
8.787879e-01, 4.147924e-01, 9.359085e-01, 2.995873e-01, 1.805646e+00, 8.164110e-01
8.888889e-01, 4.137313e-01, 9.368534e-01, 2.991914e-01, 1.807885e+00, 8.164110e-01
8.989899e-01, 4.133338e-01, 9.377938e-01, 2.988079e-01, 1.807304e+00, 8.164110e-01
9.090909e-01, 4.120902e-01, 9.387533e-01, 2.984084e-01, 1.810334e+00, 8.164110e-01
9.191919e-01, 4.115748e-01, 9.397496e-01, 2.980002e-01, 1.810122e+00, 8.164110e-01
9.292929e-01, 4.099455e-01, 9.407266e-01, 2.975958e-01, 1.814850e+00, 8.164110e-01
9.393939e-01, 4.089346e-01, 9.417557e-01, 2.971720e-01, 1.816745e+00, 8.164110e-01
9.494949e-01, 4.060316e-01, 9.427356e-01, 2.967616e-01, 1.827208e+00, 8.164110e-01
9.595960e-01, 4.025579e-01, 9.437041e-01, 2.963039e-01, 1.840132e+00, 8.164110e-01
9.696970e-01, 3.938212e-01, 9.440779e-01, 2.956504e-01, 1.876806e+00, 8.164110e-01
9.797980e-01, 3.759995e-01, 9.393124e-01, 2.929551e-01, 1.947842e+00, 8.164110e-01
9.898990e-01, 3.211073e-01, 8.775732e-01, 2.703010e-01, 2.104444e+00, 8.164110e-01
1.000000e+00, 1.250000e-01, 0.000000e+00, 1.000000e-01, 2.000000e+00, 8.164110e-01
