x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 1.077741e+00
1.010101e-02, 8.011227e-01, 2.278031e-01, 7.523654e-01, 2.347847e+00, 1.077741e+00
2.020202e-02, 7.032691e-01, 3.638659e-01, 6.335804e-01, 2.252269e+00, 1.077741e+00
3.030303e-02, 6.519030e-01, 4.449305e-01, 5.716137e-01, 2.192096e+00, 1.077741e+00
4.040404e-02, 6.170882e-01, 5.030492e-01, 5.305051e-01, 2.149227e+00, 1.077741e+00
5.050505e-02, 5.992836e-01, 5.355590e-01, 5.089107e-01, 2.122996e+00, 1.077741e+00
6.060606e-02, 5.820222e-01, 5.665018e-01, 4.888643e-01, 2.099853e+00, 1.077741e+00
7.070707e-02, 5.754450e-01, 5.801351e-01, 4.804515e-01, 2.087304e+00, 1.077741e+00
8.080808e-02, 5.643280e-01, 6.006785e-01, 4.677008e-01, 2.071937e+00, 1.077741e+00
9.090909e-02, 5.621181e-01, 6.064829e-01, 4.643260e-01, 2.065073e+00, 1.077741e+00
1.010101e-01, 5.533881e-01, 6.228665e-01, 4.544145e-01, 2.052874e+00, 1.077741e+00
1.111111e-01, 5.529915e-01, 6.253336e-01, 4.530936e-01, 2.048375e+00, 1.077741e+00
1.212121e-01, 5.452598e-01, 6.399947e-01, 4.443918e-01, 2.037523e+00, 1.077741e+00
1.313131e-01, 5.456397e-01, 6.410233e-01, 4.439286e-01, 2.033983e+00, 1.077741e+00
1.414141e-01, 5.383679e-01, 6.549305e-01, 4.358093e-01, 2.023752e+00, 1.077741e+00
1.515152e-01, 5.390850e-01, 6.553372e-01, 4.357052e-01, 2.020578e+00, 1.077741e+00
1.616162e-01, 5.320618e-01, 6.688745e-01, 4.279228e-01, 2.010682e+00, 1.077741e+00
1.717172e-01, 5.329242e-01, 6.690135e-01, 4.279660e-01, 2.007631e+00, 1.077741e+00
1.818182e-01, 5.260676e-01, 6.823286e-01, 4.204247e-01, 1.997959e+00, 1.077741e+00
1.919192e-01, 5.269881e-01, 6.823541e-01, 4.205247e-01, 1.994944e+00, 1.077741e+00
2.020202e-01, 5.202686e-01, 6.954981e-01, 4.131887e-01, 1.985459e+00, 1.077741e+00
2.121212e-01, 5.212045e-01, 6.954775e-01, 4.133067e-01, 1.982459e+00, 1.077741e+00
2.222222e-01, 5.146142e-01, 7.084615e-01, 4.061642e-01, 1.973149e+00, 1.077741e+00
2.323232e-01, 5.155422e-01, 7.084244e-01, 4.062836e-01, 1.970176e+00, 1.077741e+00
2.424242e-01, 5.090822e-01, 7.212422e-01, 3.993330e-01, 1.961044e+00, 1.077741e+00
2.525253e-01, 5.099875e-01, 7.212015e-01, 3.994468e-01, 1.958120e+00, 1.077741e+00
2.626263e-01, 5.036634e-01, 7.338391e-01, 3.926905e-01, 1.949171e+00, 1.077741e+00
2.727273e-01, 5.045353e-01, 7.338005e-01, 3.927960e-01, 1.946326e+00, 1.077741e+00
2.828283e-01, 4.983547e-01, 7.462396e-01, 3.862387e-01, 1.937569e+00, 1.077741e+00
2.929293e-01, 4.991848e-01, 7.462056e-01, 3.863350e-01, 1.934830e+00, 1.077741e+00
3.030303e-01, 4.931567e-01, 7.584251e-01, 3.799821e-01, 1.926275e+00, 1.077741e+00
3.131313e-01, 4.939383e-01, 7.583968e-01, 3.800693e-01, 1.923668e+00, 1.077741e+00
3.232323e-01, 4.880726e-01, 7.703731e-01, 3.739273e-01, 1.915326e+00, 1.077741e+00
3.333333e-01, 4.888005e-01, 7.703511e-01, 3.740058e-01, 1.912875e+00, 1.077741e+00
3.434343e-01, 4.831080e-01, 7.820589e-01, 3.680814e-01, 1.904757e+00, 1.077741e+00
3.535354e-01, 4.837786e-01, 7.820434e-01, 3.681518e-01, 1.902481e+00, 1.077741e+00
3.636364e-01, 4.782703e-01, 7.934551e-01, 3.624525e-01, 1.894601e+00, 1.077741e+00
3.737374e-01, 4.788815e-01, 7.934463e-01, 3.625155e-01, 1.892512e+00, 1.077741e+00
3.838384e-01, 4.735688e-01, 8.045330e-01, 3.570489e-01, 1.884884e+00, 1.077741e+00
3.939394e-01, 4.741199e-01, 8.045310e-01, 3.571054e-01, 1.882991e+00, 1.077741e+00
4.040404e-01, 4.690145e-01, 8.152619e-01, 3.518795e-01, 1.875632e+00, 1.077741e+00
4.141414e-01, 4.695061e-01, 8.152669e-01, 3.519300e-01, 1.873937e+00, 1.077741e+00
4.242424e-01, 4.646196e-01, 8.256103e-01, 3.469530e-01, 1.866866e+00, 1.077741e+00
4.343434e-01, 4.650535e-01, 8.256226e-01, 3.469983e-01, 1.865368e+00, 1.077741e+00
4.444444e-01, 4.603973e-01, 8.355459e-01, 3.422782e-01, 1.858602e+00, 1.077741e+00
4.545455e-01, 4.607760e-01, 8.355659e-01, 3.423187e-01, 1.857295e+00, 1.077741e+00
4.646465e-01, 4.563611e-01, 8.450367e-01, 3.378632e-01, 1.850855e+00, 1.077741e+00
4.747475e-01, 4.566880e-01, 8.450651e-01, 3.378995e-01, 1.849728e+00, 1.077741e+00
4.848485e-01, 4.525244e-01, 8.540515e-01, 3.337158e-01, 1.843634e+00, 1.077741e+00
4.949495e-01, 4.528034e-01, 8.540892e-01, 3.337479e-01, 1.842676e+00, 1.077741e+00
5.050505e-01, 4.488998e-01, 8.625613e-01, 3.298422e-01, 1.836948e+00, 1.077741e+00
5.151515e-01, 4.491348e-01, 8.626098e-01, 3.298701e-01, 1.836142e+00, 1.077741e+00
5.252525e-01, 4.454984e-01, 8.705406e-01, 3.262472e-01, 1.830799e+00, 1.077741e+00
5.353535e-01, 4.456935e-01, 8.706015e-01, 3.262706e-01, 1.830129e+00, 1.077741e+00
5.454545e-01, 4.423294e-01, 8.779684e-01, 3.229334e-01, 1.825186e+00, 1.077741e+00
5.555556e-01, 4.424882e-01, 8.780443e-01, 3.229517e-01, 1.824635e+00, 1.077741e+00
5.656566e-01, 4.393990e-01, 8.848302e-01, 3.199009e-01, 1.820105e+00, 1.077741e+00
5.757576e-01, 4.395247e-01, 8.849241e-01, 3.199132e-01, 1.819654e+00, 1.077741e+00
5.858586e-01, 4.367099e-01, 8.911191e-01, 3.171467e-01, 1.815546e+00, 1.077741e+00
5.959596e-01, 4.368053e-01, 8.912349e-01, 3.171516e-01, 1.815177e+00, 1.077741e+00
6.060606e-01, 4.342610e-01, 8.968374e-01, 3.146643e-01, 1.811493e+00, 1.077741e+00
6.161616e-01, 4.343280e-01, 8.969796e-01, 3.146601e-01, 1.811189e+00, 1.077741e+00
6.262626e-01, 4.320467e-01, 9.019970e-01, 3.124432e-01, 1.807925e+00, 1.077741e+00
6.363636e-01, 4.320867e-01, 9.021711e-01, 3.124278e-01, 1.807669e+00, 1.077741e+00
6.464646e-01, 4.300570e-01, 9.066206e-01, 3.104694e-01, 1.804815e+00, 1.077741e+00
6.565657e-01, 4.300706e-01, 9.068324e-01, 3.104405e-01, 1.804590e+00, 1.077741e+00
6.666667e-01, 4.282777e-01, 9.107409e-01, 3.087248e-01, 1.802130e+00, 1.077741e+00
6.767677e-01, 4.282649e-01, 9.109970e-01, 3.086798e-01, 1.801921e+00, 1.077741e+00
6.868687e-01, 4.266902e-01, 9.144003e-01, 3.071882e-01, 1.799831e+00, 1.077741e+00
6.969697e-01, 4.266506e-01, 9.147072e-01, 3.071244e-01, 1.799625e+00, 1.077741e+00
7.070707e-01, 4.252731e-01, 9.176488e-01, 3.058356e-01, 1.797878e+00, 1.077741e+00
7.171717e-01, 4.252058e-01, 9.180129e-01, 3.057505e-01, 1.797662e+00, 1.077741e+00
7.272727e-01, 4.240023e-01, 9.205423e-01, 3.046412e-01, 1.796224e+00, 1.077741e+00
7.373737e-01, 4.239065e-01, 9.209694e-01, 3.045323e-01, 1.795988e+00, 1.077741e+00
7.474747e-01, 4.228525e-01, 9.231398e-01, 3.035783e-01, 1.794824e+00, 1.077741e+00
7.575758e-01, 4.227276e-01, 9.236344e-01, 3.034439e-01, 1.794559e+00, 1.077741e+00
7.676768e-01, 4.217985e-01, 9.255001e-01, 3.026210e-01, 1.793635e+00, 1.077741e+00
7.777778e-01, 4.216442e-01, 9.260652e-01, 3.024598e-01, 1.793335e+00, 1.077741e+00
7.878788e-01, 4.208162e-01, 9.276795e-01, 3.017446e-01, 1.792615e+00, 1.077741e+00
7.979798e-01, 4.206329e-01, 9.283158e-01, 3.015563e-01, 1.792277e+00, 1.077741e+00
8.080808e-01, 4.198838e-01, 9.297284e-01, 3.009272e-01, 1.791729e+00, 1.077741e+00
8.181818e-01, 4.196727e-01, 9.304344e-01, 3.007124e-01, 1.791351e+00, 1.077741e+00
8.282828e-01, 4.189824e-01, 9.316895e-01, 3.001505e-01, 1.790949e+00, 1.077741e+00
8.383838e-01, 4.187456e-01, 9.324607e-01, 2.999111e-01, 1.790532e+00, 1.077741e+00
8.484848e-01, 4.180969e-01, 9.335959e-01, 2.994002e-01, 1.790256e+00, 1.077741e+00
8.585859e-01, 4.178370e-01, 9.344251e-01, 2.991390e-01, 1.789807e+00, 1.077741e+00
8.686869e-01, 4.172144e-01, 9.354702e-01, 2.986667e-01, 1.789647e+00, 1.077741e+00
8.787879e-01, 4.169323e-01, 9.363473e-01, 2.983878e-01, 1.789186e+00, 1.077741e+00
8.888889e-01, 4.163177e-01, 9.373241e-01, 2.979448e-01, 1.789167e+00, 1.077741e+00
8.989899e-01, 4.160024e-01, 9.382363e-01, 2.976534e-01, 1.788772e+00, 1.077741e+00
9.090909e-01, 4.153515e-01, 9.391585e-01, 2.972340e-01, 1.789051e+00, 1.077741e+00
9.191919e-01, 4.149271e-01, 9.400909e-01, 2.969358e-01, 1.789085e+00, 1.077741e+00
9.292929e-01, 4.140518e-01, 9.409646e-01, 2.965373e-01, 1.790460e+00, 1.077741e+00
9.393939e-01, 4.131145e-01, 9.418996e-01, 2.962383e-01, 1.792713e+00, 1.077741e+00
9.494949e-01, 4.110927e-01, 9.427165e-01, 2.958569e-01, 1.799211e+00, 1.077741e+00
9.595960e-01, 4.075645e-01, 9.435710e-01, 2.955352e-01, 1.812813e+00, 1.077741e+00
9.696970e-01, 3.995600e-01, 9.437449e-01, 2.949348e-01, 1.845372e+00, 1.077741e+00
9.797980e-01, 3.810546e-01, 9.390028e-01, 2.924273e-01, 1.918539e+00, 1.077741e+00
9.898990e-01, 3.253592e-01, 8.783120e-01, 2.701781e-01, 2.075998e+00, 1.077741e+00
1.000000e+00, 1.250000e-01, 0.000000e+00, 1.000000e-01, 2.000000e+00, 1.077741e+00
