x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 1.008230e+00
1.010101e-02, 8.038667e-01, 2.249199e-01, 7.553062e-01, 2.348978e+00, 1.008230e+00
2.020202e-02, 7.115947e-01, 3.536429e-01, 6.423641e-01, 2.256777e+00, 1.008230e+00
3.030303e-02, 6.575317e-01, 4.373193e-01, 5.774890e-01, 2.195670e+00, 1.008230e+00
4.040404e-02, 6.295114e-01, 4.851093e-01, 5.434327e-01, 2.158153e+00, 1.008230e+00
5.050505e-02, 6.064476e-01, 5.248488e-01, 5.162841e-01, 2.128313e+00, 1.008230e+00
6.060606e-02, 5.967317e-01, 5.437631e-01, 5.040177e-01, 2.111576e+00, 1.008230e+00
7.070707e-02, 5.833453e-01, 5.678424e-01, 4.884639e-01, 2.093374e+00, 1.008230e+00
8.080808e-02, 5.801446e-01, 5.755015e-01, 4.838060e-01, 2.084851e+00, 1.008230e+00
9.090909e-02, 5.702337e-01, 5.936897e-01, 4.724103e-01, 2.071126e+00, 1.008230e+00
1.010101e-01, 5.695646e-01, 5.968043e-01, 4.706604e-01, 2.065878e+00, 1.008230e+00
1.111111e-01, 5.610063e-01, 6.127019e-01, 4.609094e-01, 2.053941e+00, 1.008230e+00
1.212121e-01, 5.613554e-01, 6.139558e-01, 4.603087e-01, 2.049988e+00, 1.008230e+00
1.313131e-01, 5.533745e-01, 6.289208e-01, 4.512923e-01, 2.038819e+00, 1.008230e+00
1.414141e-01, 5.541350e-01, 6.294098e-01, 4.511482e-01, 2.035372e+00, 1.008230e+00
1.515152e-01, 5.464426e-01, 6.439552e-01, 4.425285e-01, 2.024588e+00, 1.008230e+00
1.616162e-01, 5.473617e-01, 6.441309e-01, 4.425624e-01, 2.021343e+00, 1.008230e+00
1.717172e-01, 5.398513e-01, 6.584456e-01, 4.342139e-01, 2.010804e+00, 1.008230e+00
1.818182e-01, 5.408194e-01, 6.584948e-01, 4.343129e-01, 2.007661e+00, 1.008230e+00
1.919192e-01, 5.334541e-01, 6.726424e-01, 4.261907e-01, 1.997317e+00, 1.008230e+00
2.020202e-01, 5.344198e-01, 6.726429e-01, 4.263087e-01, 1.994259e+00, 1.008230e+00
2.121212e-01, 5.271902e-01, 6.866376e-01, 4.183985e-01, 1.984097e+00, 1.008230e+00
2.222222e-01, 5.281267e-01, 6.866217e-01, 4.185171e-01, 1.981140e+00, 1.008230e+00
2.323232e-01, 5.210345e-01, 7.004576e-01, 4.108167e-01, 1.971159e+00, 1.008230e+00
2.424242e-01, 5.219258e-01, 7.004387e-01, 4.109286e-01, 1.968329e+00, 1.008230e+00
2.525253e-01, 5.149774e-01, 7.141011e-01, 4.034405e-01, 1.958535e+00, 1.008230e+00
2.626263e-01, 5.158131e-01, 7.140849e-01, 4.035434e-01, 1.955860e+00, 1.008230e+00
2.727273e-01, 5.090173e-01, 7.275545e-01, 3.962724e-01, 1.946262e+00, 1.008230e+00
2.828283e-01, 5.097906e-01, 7.275432e-01, 3.963657e-01, 1.943767e+00, 1.008230e+00
2.929293e-01, 5.031574e-01, 7.407977e-01, 3.893176e-01, 1.934373e+00, 1.008230e+00
3.030303e-01, 5.038639e-01, 7.407923e-01, 3.894018e-01, 1.932078e+00, 1.008230e+00
3.131313e-01, 4.974044e-01, 7.538066e-01, 3.825833e-01, 1.922899e+00, 1.008230e+00
3.232323e-01, 4.980419e-01, 7.538075e-01, 3.826591e-01, 1.920818e+00, 1.008230e+00
3.333333e-01, 4.917676e-01, 7.665544e-01, 3.760775e-01, 1.911866e+00, 1.008230e+00
3.434343e-01, 4.923363e-01, 7.665618e-01, 3.761459e-01, 1.910005e+00, 1.008230e+00
3.535354e-01, 4.862593e-01, 7.790116e-01, 3.698091e-01, 1.901296e+00, 1.008230e+00
3.636364e-01, 4.867606e-01, 7.790254e-01, 3.698710e-01, 1.899656e+00, 1.008230e+00
3.737374e-01, 4.808933e-01, 7.911466e-01, 3.637872e-01, 1.891206e+00, 1.008230e+00
3.838384e-01, 4.813305e-01, 7.911668e-01, 3.638437e-01, 1.889781e+00, 1.008230e+00
3.939394e-01, 4.756855e-01, 8.029254e-01, 3.580217e-01, 1.881609e+00, 1.008230e+00
4.040404e-01, 4.760628e-01, 8.029522e-01, 3.580735e-01, 1.880390e+00, 1.008230e+00
4.141414e-01, 4.706529e-01, 8.143127e-01, 3.525224e-01, 1.872518e+00, 1.008230e+00
4.242424e-01, 4.709752e-01, 8.143460e-01, 3.525704e-01, 1.871491e+00, 1.008230e+00
4.343434e-01, 4.658130e-01, 8.252715e-01, 3.472993e-01, 1.863941e+00, 1.008230e+00
4.444444e-01, 4.660859e-01, 8.253115e-01, 3.473441e-01, 1.863090e+00, 1.008230e+00
4.545455e-01, 4.611836e-01, 8.357645e-01, 3.423619e-01, 1.855887e+00, 1.008230e+00
4.646465e-01, 4.614129e-01, 8.358116e-01, 3.424040e-01, 1.855193e+00, 1.008230e+00
4.747475e-01, 4.567820e-01, 8.457545e-01, 3.377195e-01, 1.848363e+00, 1.008230e+00
4.848485e-01, 4.569731e-01, 8.458092e-01, 3.377592e-01, 1.847807e+00, 1.008230e+00
4.949495e-01, 4.526244e-01, 8.552058e-01, 3.333801e-01, 1.841373e+00, 1.008230e+00
5.050505e-01, 4.527825e-01, 8.552690e-01, 3.334174e-01, 1.840936e+00, 1.008230e+00
5.151515e-01, 4.487250e-01, 8.640856e-01, 3.293503e-01, 1.834923e+00, 1.008230e+00
