x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 7.391697e-01
1.010101e-02, 8.314615e-01, 1.952897e-01, 7.856497e-01, 2.362255e+00, 7.391697e-01
2.020202e-02, 7.570240e-01, 2.976384e-01, 6.917786e-01, 2.284533e+00, 7.391697e-01
3.030303e-02, 7.117831e-01, 3.647279e-01, 6.357907e-01, 2.233091e+00, 7.391697e-01
4.040404e-02, 6.932567e-01, 3.955968e-01, 6.117676e-01, 2.206137e+00, 7.391697e-01
5.050505e-02, 6.726692e-01, 4.286152e-01, 5.865843e-01, 2.180062e+00, 7.391697e-01
6.060606e-02, 6.681404e-01, 4.382357e-01, 5.797166e-01, 2.169142e+00, 7.391697e-01
7.070707e-02, 6.540007e-01, 4.615910e-01, 5.626002e-01, 2.150610e+00, 7.391697e-01
8.080808e-02, 6.534655e-01, 4.646484e-01, 5.606517e-01, 2.144917e+00, 7.391697e-01
9.090909e-02, 6.411937e-01, 4.852139e-01, 5.459703e-01, 2.128726e+00, 7.391697e-01
1.010101e-01, 6.417789e-01, 4.862183e-01, 5.454931e-01, 2.124926e+00, 7.391697e-01
1.111111e-01, 6.301185e-01, 5.059651e-01, 5.317102e-01, 2.109564e+00, 7.391697e-01
1.212121e-01, 6.309475e-01, 5.063256e-01, 5.316713e-01, 2.106638e+00, 7.391697e-01
1.313131e-01, 6.195534e-01, 5.258143e-01, 5.183581e-01, 2.091660e+00, 7.391697e-01
1.414141e-01, 6.203565e-01, 5.259746e-01, 5.184425e-01, 2.089293e+00, 7.391697e-01
1.515152e-01, 6.091428e-01, 5.453552e-01, 5.054823e-01, 2.074564e+00, 7.391697e-01
1.616162e-01, 6.098424e-01, 5.454557e-01, 5.055943e-01, 2.072644e+00, 7.391697e-01
1.717172e-01, 5.987977e-01, 5.647570e-01, 4.929593e-01, 2.058121e+00, 7.391697e-01
1.818182e-01, 5.993795e-01, 5.648421e-01, 4.930710e-01, 2.056589e+00, 7.391697e-01
1.919192e-01, 5.885136e-01, 5.840564e-01, 4.807586e-01, 2.042258e+00, 7.391697e-01
2.020202e-01, 5.889850e-01, 5.841400e-01, 4.808630e-01, 2.041067e+00, 7.391697e-01
