x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 9.020342e-01
1.010101e-02, 8.116811e-01, 2.166637e-01, 7.637443e-01, 2.352353e+00, 9.020342e-01
2.020202e-02, 7.247186e-01, 3.375187e-01, 6.563642e-01, 2.264204e+00, 9.020342e-01
3.030303e-02, 6.734474e-01, 4.158861e-01, 5.942745e-01, 2.206091e+00, 9.020342e-01
4.040404e-02, 6.485740e-01, 4.579785e-01, 5.634672e-01, 2.171946e+00, 9.020342e-01
5.050505e-02, 6.265007e-01, 4.951763e-01, 5.371724e-01, 2.143543e+00, 9.020342e-01
6.060606e-02, 6.187136e-01, 5.106024e-01, 5.268472e-01, 2.128801e+00, 9.020342e-01
7.070707e-02, 6.052957e-01, 5.340998e-01, 5.110401e-01, 2.110704e+00, 9.020342e-01
8.080808e-02, 6.032261e-01, 5.398538e-01, 5.074588e-01, 2.103103e+00, 9.020342e-01
9.090909e-02, 5.927161e-01, 5.586003e-01, 4.951983e-01, 2.088683e+00, 9.020342e-01
1.010101e-01, 5.926878e-01, 5.607571e-01, 4.940048e-01, 2.083748e+00, 9.020342e-01
1.111111e-01, 5.832406e-01, 5.778058e-01, 4.830886e-01, 2.070709e+00, 9.020342e-01
1.212121e-01, 5.839419e-01, 5.786130e-01, 4.827585e-01, 2.066809e+00, 9.020342e-01
1.313131e-01, 5.749364e-01, 5.950182e-01, 4.724503e-01, 2.054359e+00, 9.020342e-01
1.414141e-01, 5.758761e-01, 5.953189e-01, 4.724296e-01, 2.050917e+00, 9.020342e-01
1.515152e-01, 5.671028e-01, 6.114408e-01, 4.624800e-01, 2.038784e+00, 9.020342e-01
1.616162e-01, 5.680894e-01, 6.115536e-01, 4.625645e-01, 2.035615e+00, 9.020342e-01
1.717172e-01, 5.594809e-01, 6.275085e-01, 4.528904e-01, 2.023708e+00, 9.020342e-01
1.818182e-01, 5.604359e-01, 6.275540e-01, 4.530049e-01, 2.020771e+00, 9.020342e-01
1.919192e-01, 5.519751e-01, 6.433718e-01, 4.435808e-01, 2.009062e+00, 9.020342e-01
2.020202e-01, 5.528643e-01, 6.433959e-01, 4.436979e-01, 2.006360e+00, 9.020342e-01
