x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 8.001262e-01
1.010101e-02, 8.246808e-01, 2.026983e-01, 7.780464e-01, 2.358629e+00, 8.001262e-01
2.020202e-02, 7.392897e-01, 3.195695e-01, 6.721599e-01, 2.272992e+00, 8.001262e-01
3.030303e-02, 6.990623e-01, 3.816301e-01, 6.218439e-01, 2.223850e+00, 8.001262e-01
4.040404e-02, 6.689734e-01, 4.293646e-01, 5.852353e-01, 2.187065e+00, 8.001262e-01
5.050505e-02, 6.578048e-01, 4.497662e-01, 5.704868e-01, 2.168146e+00, 8.001262e-01
6.060606e-02, 6.414717e-01, 4.770733e-01, 5.508277e-01, 2.146734e+00, 8.001262e-01
7.070707e-02, 6.387328e-01, 4.839408e-01, 5.462433e-01, 2.137996e+00, 8.001262e-01
8.080808e-02, 6.264527e-01, 5.049350e-01, 5.316129e-01, 2.121521e+00, 8.001262e-01
9.090909e-02, 6.263620e-01, 5.072795e-01, 5.302342e-01, 2.116325e+00, 8.001262e-01
1.010101e-01, 6.153888e-01, 5.262786e-01, 5.173021e-01, 2.101525e+00, 8.001262e-01
1.111111e-01, 6.161085e-01, 5.270969e-01, 5.169614e-01, 2.097688e+00, 8.001262e-01
1.212121e-01, 6.056190e-01, 5.454387e-01, 5.047341e-01, 2.083546e+00, 8.001262e-01
1.313131e-01, 6.065346e-01, 5.457419e-01, 5.047259e-01, 2.080367e+00, 8.001262e-01
1.414141e-01, 5.962830e-01, 5.638360e-01, 4.929029e-01, 2.066564e+00, 8.001262e-01
1.515152e-01, 5.971842e-01, 5.639675e-01, 4.929942e-01, 2.063828e+00, 8.001262e-01
1.616162e-01, 5.871034e-01, 5.819310e-01, 4.814868e-01, 2.050264e+00, 8.001262e-01
1.717172e-01, 5.879188e-01, 5.820078e-01, 4.816011e-01, 2.047907e+00, 8.001262e-01
1.818182e-01, 5.779980e-01, 5.998643e-01, 4.703861e-01, 2.034549e+00, 8.001262e-01
1.919192e-01, 5.787066e-01, 5.999266e-01, 4.704994e-01, 2.032547e+00, 8.001262e-01
2.020202e-01, 5.689526e-01, 6.176689e-01, 4.595740e-01, 2.019386e+00, 8.001262e-01
2.121212e-01, 5.695530e-01, 6.177303e-01, 4.596795e-01, 2.017720e+00, 8.001262e-01
2.222222e-01, 5.599781e-01, 6.353401e-01, 4.490474e-01, 2.004755e+00, 8.001262e-01
2.323232e-01, 5.604775e-01, 6.354051e-01, 4.491442e-01, 2.003400e+00, 8.001262e-01
2.424242e-01, 5.510955e-01, 6.528589e-01, 4.388116e-01, 1.990633e+00, 8.001262e-01
2.525253e-01, 5.515051e-01, 6.529288e-01, 4.389006e-01, 1.989558e+00, 8.001262e-01
2.626263e-01, 5.423303e-01, 6.701998e-01, 4.288747e-01, 1.976999e+00, 8.001262e-01
2.727273e-01, 5.426626e-01, 6.702748e-01, 4.289572e-01, 1.976169e+00, 8.001262e-01
2.828283e-01, 5.337093e-01, 6.873326e-01, 4.192457e-01, 1.963830e+00, 8.001262e-01
2.929293e-01, 5.339771e-01, 6.874126e-01, 4.193231e-01, 1.963207e+00, 8.001262e-01
3.030303e-01, 5.252596e-01, 7.042239e-01, 4.099349e-01, 1.951106e+00, 8.001262e-01
3.131313e-01, 5.254750e-01, 7.043085e-01, 4.100082e-01, 1.950655e+00, 8.001262e-01
