x, rho, u, p, e, tcurr
0.000000e+00, 1.000000e+00, 0.000000e+00, 1.000000e+00, 2.500000e+00, 1.200515e+00
1.010101e-02, 7.957521e-01, 2.334063e-01, 7.466489e-01, 2.345733e+00, 1.200515e+00
2.020202e-02, 6.948844e-01, 3.741609e-01, 6.248088e-01, 2.247888e+00, 1.200515e+00
3.030303e-02, 6.406281e-01, 4.602829e-01, 5.598990e-01, 2.184961e+00, 1.200515e+00
4.040404e-02, 6.044121e-01, 5.215447e-01, 5.174364e-01, 2.140247e+00, 1.200515e+00
5.050505e-02, 5.845830e-01, 5.579334e-01, 4.938020e-01, 2.111770e+00, 1.200515e+00
6.060606e-02, 5.668061e-01, 5.904381e-01, 4.733347e-01, 2.087728e+00, 1.200515e+00
7.070707e-02, 5.588343e-01, 6.066796e-01, 4.635606e-01, 2.073783e+00, 1.200515e+00
8.080808e-02, 5.477866e-01, 6.275746e-01, 4.510147e-01, 2.058350e+00, 1.200515e+00
9.090909e-02, 5.446467e-01, 6.349792e-01, 4.467911e-01, 2.050830e+00, 1.200515e+00
1.010101e-01, 5.363510e-01, 6.509287e-01, 4.374753e-01, 2.039128e+00, 1.200515e+00
1.111111e-01, 5.353385e-01, 6.543128e-01, 4.356553e-01, 2.034485e+00, 1.200515e+00
1.212121e-01, 5.282505e-01, 6.680786e-01, 4.277690e-01, 2.024461e+00, 1.200515e+00
1.313131e-01, 5.282126e-01, 6.696029e-01, 4.270259e-01, 2.021089e+00, 1.200515e+00
1.414141e-01, 5.216953e-01, 6.823618e-01, 4.198315e-01, 2.011862e+00, 1.200515e+00
1.515152e-01, 5.221158e-01, 6.830203e-01, 4.195766e-01, 2.009021e+00, 1.200515e+00
1.616162e-01, 5.158998e-01, 6.952769e-01, 4.127639e-01, 2.000214e+00, 1.200515e+00
1.717172e-01, 5.165416e-01, 6.955322e-01, 4.127295e-01, 1.997562e+00, 1.200515e+00
1.818182e-01, 5.105128e-01, 7.075003e-01, 4.061671e-01, 1.989015e+00, 1.200515e+00
1.919192e-01, 5.112647e-01, 7.075690e-01, 4.062300e-01, 1.986398e+00, 1.200515e+00
2.020202e-01, 5.053763e-01, 7.193347e-01, 3.998633e-01, 1.978047e+00, 1.200515e+00
2.121212e-01, 5.061845e-01, 7.193186e-01, 3.999666e-01, 1.975399e+00, 1.200515e+00
